Current Real Time,Local Server Time,Hardware Clock Time,Software Clock Time,Error,Remote Est Time,
4229174244,11677455,1278373,1278375,-10399080,,
4229195978,11699190,1300109,1300112,-10399078,11700510,
4229674245,12177448,1778373,11726800,-450648,,
4230174246,12677440,2278374,12678782,1342,,
4230221423,12724616,2325552,12725959,1343,12726069,
4230674247,13177433,2778375,13178885,1452,,
4231174248,13677424,3278376,13678897,1473,,
4231242980,13746156,3347109,13747629,1473,13745243,
4231674249,14177417,3778377,14176840,-577,,
4232174250,14677409,4278378,14676515,-894,,
4232267399,14770558,4371528,14769664,-894,14773516,
4232674252,15177403,4778379,15179652,2249,,
4233174254,15677396,5278382,15680372,2976,,
4233293874,15797014,5398002,15799993,2979,15800843,
4233674256,16177390,5778383,16181022,3632,,
4234174257,16677382,6278385,16681228,3846,,
4234317442,16820566,6421570,16824414,3848,16823008,
4234674258,17177375,6778385,17180227,2852,,
4235174259,17677368,7278387,17679826,2458,,
4235341346,17844452,7445474,17846914,2462,17846890,
4235674261,18177361,7778388,18179814,2453,,
4236174263,18677354,8278391,18679809,2455,,
4236362953,18866042,8467081,18868500,2458,18865839,
4236674265,19177348,8778392,19178155,807,,
4237174266,19677340,9278393,19677154,-186,,
4237390231,19893303,9494360,19893120,-183,19897442,
4237674267,20177333,9778395,20179611,2278,,
4238174269,20677326,10278396,20681481,4155,,
4238414554,20917607,10518682,20921766,4159,20920394,
4238674270,21177319,10778397,21180770,3451,,
4239174271,21677311,11278399,21680113,2802,,
4239437467,21940503,11541595,21943310,2807,21942463,
4239674272,22177305,11778400,22179714,2409,,
4240174273,22677296,12278400,22679271,1975,,
4240467870,22970889,12571998,22972869,1980,22976710,
4240674274,23177289,12778402,23180858,3569,,
4241174275,23677281,13278403,23683117,5836,,
4241487085,23990086,13591213,23995928,5842,23990276,
4241674276,24177275,13778404,24181002,3727,,
4242174277,24677266,14278405,24677470,204,,
4242508255,25011240,14612384,25011450,210,25012239,
4242674279,25177260,14778407,25177734,474,,
4243174280,25677252,15278408,25678265,1013,,
4243536622,26039589,15640750,26040608,1019,26044230,
4243674281,26177245,15778408,26179262,2017,,
4244174282,26677238,16278410,26681892,4654,,
4244557961,27060910,16662089,27065571,4661,27061529,
4244674283,27177230,16778411,27180952,3722,,
4245174284,27677222,17278412,27677854,632,,
4245577077,28080009,17681205,28080648,639,28080244,
4245674285,28177215,17778413,28177775,560,,
4246174287,28677208,18278415,28677455,247,,
4246596711,29099625,18700839,29099879,254,29099655,
4246674288,29177202,18778416,29177422,220,,
4247174289,29677194,19278417,29677236,42,,
4247622235,30125133,19726364,30125183,50,30126867,
4247674290,30177187,19778418,30177411,224,,
4248174291,30677178,20278419,30678924,1746,,
4248656098,31158977,20760226,31160732,1755,31166251,
4248674292,31177171,20778420,31179124,1953,,
4249174293,31677164,21278421,31684448,7284,,
4249679691,32182554,21783819,32189847,7293,32184921,
4249679698,32182561,21783826,32189853,7292,,
4250179699,32682552,22283827,32684931,2379,,
4250701286,33204131,22805414,33206519,2388,33205426,
4250701293,33204138,22805421,33206525,2387,,
4251201295,33704131,23305422,33705437,1306,,
4251725448,34228275,23829576,34229590,1315,34230970,
4251725455,34228282,23829583,34229596,1314,,
4252225457,34728275,24329585,34730981,2706,,
4252751184,35253993,24855312,35256708,2715,35257444,
4252751191,35254000,24855319,35256714,2714,,
4253251193,35753994,25355320,35757455,3461,,
4253774853,36277645,25878981,36281115,3470,36280069,
