Current Real Time,Time Elapsed (sec),Local Server Time,Remote Est Time,Diff
5219433822,0,2249157,,#N/A
5219436568,0,2251903,2252212,309
5219933824,0.5,2749157,,#N/A
5220433825,1,3249158,,#N/A
5220440409,1.01,3255743,3256035,292
5220933826,1.5,3749159,,#N/A
5221433829,2,4249163,,#N/A
5221443321,2.01,4258654,4259031,377
5221933830,2.5,4749164,,#N/A
5222433831,3,5249164,,#N/A
5222446159,3.01,5261493,5261977,484
5222933833,3.5,5749166,,#N/A
5223433835,4,6249168,,#N/A
5223448240,4.01,6263574,6263721,147
5223933836,4.5,6749170,,#N/A
5224433837,5,7249170,,#N/A
5224451750,5.02,7267083,7267343,260
5224933845,5.5,7749178,,#N/A
5225433847,6,8249181,,#N/A
5225455628,6.02,8270962,8271387,425
5225933849,6.5,8749182,,#N/A
5226433851,7,9249184,,#N/A
5226459205,7.03,9274538,9274732,194
5226933852,7.5,9749185,,#N/A
5227435310,8,10250644,,#N/A
5227461790,8.03,10277124,10277618,494
5227935312,8.5,10750647,,#N/A
5228435314,9,11250647,,#N/A
5228464560,9.03,11279893,11280481,588
5228935315,9.5,11750649,,#N/A
5229435316,10,12250649,,#N/A
5229467513,10.03,12282847,12283551,704
5229935317,10.5,12750651,,#N/A
5230435320,11,13250653,,#N/A
5230471688,11.04,13287022,13287074,52
5230935321,11.5,13750655,,#N/A
5231435323,12,14250656,,#N/A
5231474562,12.04,14289895,14290274,379
5231935325,12.5,14750658,,#N/A
5232435326,13,15250659,,#N/A
5232477501,13.04,15292835,15293186,351
5232935327,13.5,15750660,,#N/A
5233435328,14,16250662,,#N/A
5233480393,14.05,16295726,16296114,388
5233935330,14.5,16750663,,#N/A
5234435331,15,17250665,,#N/A
5234484027,15.05,17299361,17300067,706
5234935333,15.5,17750666,,#N/A
5235435335,16,18250668,,#N/A
5235487652,16.05,18302985,18303785,800
5235935337,16.5,18750670,,#N/A
5236435338,17,19250671,,#N/A
5236490367,17.06,19305701,19305961,260
5236935339,17.5,19750673,,#N/A
5237435341,18,20250674,,#N/A
5237493309,18.06,20308642,20309005,363
