Current Real Time,Local Server Time,Hardware Clock Time,Software Clock Time,Error,Remote Est Time,
77677387139,25146670,982763,982765,-24163905,,
77677406713,25166244,1002338,1002340,-24163904,25166119,
77677887140,25646669,1482762,24700778,-945891,,
77678387141,26146670,1982763,26146550,-120,,
77678429326,26188856,2024948,26188736,-120,26188831,
77678887142,26646671,2482764,26646641,-30,,
77679387144,27146673,2982765,27146651,-22,,
77679452597,27212127,3048220,27212105,-22,27214151,
77679887146,27646675,3482768,27648433,1758,,
77680387147,28146676,3982769,28148703,2027,,
77680471707,28231237,4067330,28233265,2028,28231108,
77680887148,28646678,4482770,28646916,238,,
77681387149,29146678,4982771,29146552,-126,,
77681491269,29250799,5086892,29250674,-125,29250814,
77681887150,29646679,5482772,29646667,-12,,
77682387151,30146681,5982773,30146699,18,,
77682510760,30270290,6106382,30270308,18,30270280,
77682887152,30646681,6482773,30646680,-1,,
77683387154,31146683,6982776,31146676,-7,,
77683534109,31293639,7129732,31293633,-6,31295545,
77683887155,31646685,7482777,31648031,1346,,
77684387157,32146686,7982779,32148595,1909,,
77684558483,32318012,8154105,32319922,1910,32320362,
77684887159,32646688,8482780,32648888,2200,,
77685387160,33146690,8982782,33149042,2352,,
77685578901,33338431,9174524,33340784,2353,33338857,
77685887162,33646691,9482784,33647857,1166,,
77686387164,34146694,9982786,34147122,428,,
77686602383,34361912,10198005,34362342,430,34363746,
77686887165,34646694,10482786,34647923,1229,,
77687387166,35146695,10982788,35148531,1836,,
77687625841,35385371,11221464,35387208,1837,35387086,
77687887167,35646696,11482789,35648469,1773,,
77688387169,36146698,11982791,36148416,1718,,
77688649966,36409495,12245588,36411213,1718,36411365,
77688887170,36646699,12482791,36648489,1790,,
77689387172,37146701,12982794,37148573,1872,,
77689673840,37433370,13269463,37435243,1873,37434751,
77689887173,37646703,13482795,37648366,1663,,
77690387174,38146704,13982796,38148088,1384,,
77690695179,38454709,14290802,38456094,1385,38455509,
77690887175,38646704,14482796,38647864,1160,,
77691387176,39146706,14982798,39147509,803,,
77691718594,39478124,15314217,39478927,803,39479804,
77691887178,39646707,15482800,39647806,1099,,
77692387179,40146708,15982801,40148391,1683,,
77692742139,40501669,16337761,40503352,1683,40503461,
77692887180,40646710,16482802,40648424,1714,,
77693387182,41146711,16982804,41148505,1794,,
77693765341,41524871,17360963,41526665,1794,41526474,
77693887183,41646712,17482805,41648459,1747,,
77694387185,42146714,17982807,42148320,1606,,
77694785341,42544871,18380964,42546477,1606,42545113,
77694887186,42646716,18482808,42648044,1328,,
77695387188,43146717,18982810,43146961,244,,
77695808765,43568295,19404388,43568540,245,43569837,
77695887189,43646718,19482810,43647165,447,,
77696387190,44146720,19982812,44148265,1545,,
77696831974,44591504,20427597,44593050,1546,44593186,
77696887191,44646720,20482813,44648279,1559,,
77697387192,45146722,20982814,45148407,1685,,
77697855465,45614995,21451088,45616680,1685,45616657,
77697887194,45646723,21482816,45648405,1682,,
77698387196,46146726,21982818,46148389,1663,,
77698878889,46638419,22474512,46640083,1664,46640064,
77698887197,46646727,22482819,46648389,1662,,
77699387199,47146728,22982821,47148376,1648,,
77699898330,47657859,23493952,47659508,1649,47657592,
77699898337,47657866,23493959,47659514,1648,,
77700398338,48157867,23993959,48157602,-265,,
77700921684,48681213,24517306,48680949,-264,48682855,
77700921691,48681220,24517313,48680955,-265,,
77701421692,49181221,25017313,49182865,1644,,
77701921693,49681222,25517314,49682866,1644,,
77701940635,49700165,25536258,49701810,1645,49699636,
77702421694,50181223,26017316,50180778,-445,,
77702921695,50681224,26517317,50680697,-527,,
77702964142,50723672,26559764,50723145,-527,50725298,
77703421696,51181226,27017318,51182672,1446,,
77703921698,51681227,27517319,51682857,1630,,
77703987913,51747443,27583536,51749074,1631,51749043,
77704421699,52181228,28017321,52182834,1606,,
77704921700,52681230,28517322,52682833,1603,,
77705011510,52771039,28607132,52772643,1604,52772643,
77705421701,53181230,29017322,53182835,1605,,
77705921703,53681232,29517324,53682838,1606,,
77706034511,53794041,29630134,53795648,1607,53795577,
77706421704,54181233,30017325,54182786,1553,,
77706921705,54681234,30517327,54682772,1538,,
77707058174,54817704,30653796,54819242,1538,54819144,
77707421707,55181236,31017329,55182705,1469,,
77707921709,55681238,31517331,55682681,1443,,
77708078014,55837544,31673637,55838988,1444,55837294,
77708421711,56181240,32017333,56181521,281,,
77708921712,56681241,32517333,56680994,-247,,
77709101877,56861406,32697500,56861160,-246,56863108,
77709421714,57181243,33017336,57182244,1001,,
77709921715,57681245,33517337,57682948,1703,,
77710125862,57885392,33721485,57887096,1704,57887069,
77710421717,58181246,34017339,58182935,1689,,
77710921719,58681248,34517340,58682928,1680,,
77711147734,58907264,34743357,58908945,1681,58907723,
77711421720,59181249,35017342,59182261,1012,,
77711921721,59681251,35517343,59681713,462,,
77712166971,59926501,35762594,59926964,463,59925726,
77712421722,60181251,36017343,60181084,-167,,
77712921723,60681252,36517345,60680480,-772,,
77713186075,60945605,36781697,60944833,-772,60944948,
77713421725,61181254,37017347,61180536,-718,,
77713921726,61681255,37517348,61680601,-654,,
77714205734,61965264,37801356,61964610,-654,61964188,
77714421727,62181257,38017349,62180422,-835,,
77714921728,62681257,38517350,62680184,-1073,,
77715226971,62986501,38822594,62985429,-1072,62986772,
77715421730,63181259,39017352,63180710,-549,,
77715921732,63681261,39517354,63681535,274,,
77716247060,64006590,39842683,64006865,275,64005641,
77716421733,64181262,40017355,64181108,-154,,
77716921734,64681264,40517356,64680316,-948,,
77717270324,65029853,40865946,65028907,-946,65031235,
77717421736,65181265,41017357,65181023,-242,,
77717921738,65681267,41517360,65682652,1385,,
77718294014,66053544,41889636,66054929,1385,66055021,
77718421740,66181269,42017361,66182676,1407,,
77718921741,66681270,42517363,66682749,1479,,
77719313791,67073321,42909414,67074800,1479,67072861,
77719421743,67181272,43017364,67182331,1059,,
77719921744,67681273,43517365,67680815,-458,,
77720337629,68097159,43933252,68096702,-457,68098613,
77720421745,68181274,44017367,68181137,-137,,
77720921746,68681275,44517368,68682731,1456,,
77721356943,69116473,44952566,69117930,1457,69115649,
77721421748,69181277,45017370,69182436,1159,,
77721921750,69681279,45517372,69680458,-821,,
77722380172,70139702,45975795,70138882,-820,70140857,
77722421751,70181280,46017373,70180623,-657,,
77722921752,70681281,46517374,70682439,1158,,
77723403705,71163235,46999328,71164393,1158,71164335,
77723421754,71181283,47017375,71182437,1154,,
77723921755,71681284,47517376,71682386,1102,,
77724426264,72185793,48021887,72186896,1103,72186470,
77724426273,72185802,48021895,72186903,1101,,
77724926274,72685803,48521895,72686482,679,,
77725445485,73205015,49041108,73205694,679,73203996,
77725445493,73205022,49041115,73205700,678,,
77725945494,73705024,49541116,73704006,-1018,,
77726464525,74224055,50060148,74223039,-1016,74223090,
77726464534,74224064,50060157,74223046,-1018,,
77726964535,74724064,50560157,74723102,-962,,
77727464536,75224065,51060157,75223103,-962,,
77727488141,75247670,51083763,75246709,-961,75248820,
77727964537,75724066,51560158,75725119,1053,,
77728464538,76224067,52060160,76225219,1152,,
77728509280,76268810,52104903,76269963,1153,76268786,
77728964540,76724069,52560162,76724153,84,,
77729464542,77224071,53060164,77224050,-21,,
77729532657,77292187,53128279,77292166,-21,77293290,
77729964544,77724073,53560165,77725025,952,,
77730464545,78224074,54060167,78225180,1106,,
77730551967,78311497,54147589,78312603,1106,78310502,
77730964546,78724076,54560168,78723450,-626,,
77731464547,79224077,55060169,79223084,-993,,
77731575517,79335047,55171139,79334055,-992,79336139,
77731964548,79724078,55560170,79724708,630,,
77732464549,80224078,56060170,80225173,1095,,
77732599253,80358782,56194875,80359878,1096,80359962,
77732964551,80724080,56560173,80725239,1159,,
77733464552,81224081,57060174,81225263,1182,,
77733618421,81377951,57214044,81379134,1183,81376859,
77733964553,81724082,57560174,81723690,-392,,
77734464554,82224084,58060176,82222994,-1090,,
77734637945,82397474,58233567,82396386,-1088,82396591,
77734964556,82724085,58560177,82723131,-954,,
77735464558,83224087,59060180,83223206,-881,,
77735661462,83420992,59257085,83420112,-880,83421811,
77735964559,83724089,59560181,83724239,150,,
77736464560,84224089,60060182,84224911,822,,
77736681838,84441368,60277461,84442190,822,84440658,
77736964562,84724091,60560184,84724048,-43,,
77737464563,85224092,61060185,85223385,-707,,
77737704938,85464467,61300560,85463761,-706,85465173,
77737964565,85724094,61560187,85724121,27,,
77738464566,86224096,62060188,86224804,708,,
77738737766,86497296,62333389,86498005,709,86502973,
77738964567,86724096,62560188,86727058,2962,,
77739464569,87224098,63060191,87229778,5680,,
77739756931,87516461,63352553,87522141,5680,87515223,
77739964570,87724099,63560192,87726907,2808,,
77740464571,88224100,64060193,88222865,-1235,,
77740776682,88536211,64372304,88534977,-1234,88535344,
77740964573,88724102,64560195,88723006,-1096,,
77741464574,89224103,65060196,89223238,-865,,
77741801770,89561301,65397394,89560438,-863,89562945,
77741964575,89724104,65560197,89724056,-48,,
77742464577,90224106,66060199,90225754,1648,,
77742824857,90584386,66420479,90586035,1649,90585122,
77742964579,90724108,66560201,90725501,1393,,
77743464580,91224109,67060201,91224847,738,,
77743857715,91617245,67453338,91617984,739,91622845,
77743964582,91724111,67560204,91725887,1776,,
77744464583,92224112,68060205,92229715,5603,,
77744877517,92637047,68473139,92642650,5603,92636173,
77744964584,92724113,68560206,92728587,4474,,
77745464586,93224115,69060208,93223244,-871,,
77745897671,93657200,69493293,93656330,-870,93656451,
77745964588,93724117,69560210,93723261,-856,,
77746464590,94224119,70060212,94223372,-747,,
77746921457,94680986,70517079,94680240,-746,94681624,
77746964592,94724122,70560214,94723493,-629,,
77747464594,95224123,71060215,95224763,640,,
77747944944,95704473,71540566,95705113,640,95705255,
77747964595,95724125,71560217,95724769,644,,
77748464596,96224125,72060217,96224909,784,,
77748979087,96738617,72574710,96739402,785,96744794,
77748979224,96738754,72574847,96739540,786,,
77749479225,97238754,73074846,97244934,6180,,
77749998322,97757852,73593945,97764033,6181,97756516,
77749998331,97757861,73593954,97764039,6178,,
77750498332,98257861,74093953,98256527,-1334,,
77751021503,98781032,74617125,98779698,-1334,98781773,
77751021510,98781039,74617132,98779704,-1335,,
77751521512,99281041,75117133,99281784,743,,
77752042038,99801567,75637660,99802311,744,99800764,
77752042045,99801574,75637667,99802317,743,,
77752542046,100301575,76137667,100300773,-802,,
77753065111,100824641,76660733,100823840,-801,100825143,
77753065120,100824650,76660742,100823848,-802,,
77753565121,101324650,77160743,101325155,505,,
77754099380,101858909,77695002,101859415,506,101865061,
77754099389,101858918,77695011,101859423,505,,
77754599390,102358920,78195012,102365074,6154,,
77755118553,102878083,78714177,102884238,6155,102876635,
77755118563,102878093,78714186,102884245,6152,,
77755618565,103378094,79214187,103376648,-1446,,
77756118760,103878290,79714382,103876844,-1446,,
77756137770,103897300,79733393,103895854,-1446,103895822,
77756618762,104378291,80214384,104376817,-1474,,
77757118763,104878293,80714385,104876817,-1476,,
77757156848,104916378,80752470,104914903,-1475,104914881,
77757618765,105378294,81214387,105376802,-1492,,
77758118767,105878296,81714389,105876802,-1494,,
77758180531,105940061,81776154,105938568,-1493,105940804,
77758618769,106378298,82214391,106378766,468,,
77759118771,106878300,82714393,106879045,745,,
77759220874,106980403,82816496,106981149,746,106989444,
77759618772,107378301,83214394,107385650,7349,,
77760118773,107878303,83714395,107887345,9042,,
77760244453,108003983,83840076,108013026,9043,108004717,
77760618775,108378304,84214396,108381127,2823,,
77761118776,108878306,84714398,108879042,736,,
77761263731,109023261,84859354,109023998,737,109021649,
77761618777,109378306,85214399,109377377,-929,,
77762118778,109878308,85714400,109876699,-1609,,
77762282925,110042455,85878548,110040847,-1608,110040818,
77762618779,110378308,86214401,110376682,-1626,,
77763118781,110878310,86714403,110876676,-1634,,
77763389668,111149200,86985294,111147569,-1631,111104477,
77763618782,111378312,87214404,111356933,-21379,,
77764118783,111878313,87714405,111833596,-44717,,
77764414064,112173594,88009687,112128878,-44716,112174522,
77764618784,112378314,88214406,112352287,-26027,,
77765118785,112878314,88714407,112879244,930,,
77765434075,113193604,89029698,113194535,931,113192351,
77765618787,113378316,89214409,113378439,123,,
77766118789,113878318,89714411,113877067,-1251,,
77766454827,114214357,90050450,114213107,-1250,114213335,
77766618790,114378320,90214412,114377143,-1177,,
77767118791,114878320,90714413,114877301,-1019,,
77767478547,115238077,91074170,115237059,-1018,115238899,
77767618793,115378322,91214415,115377819,-503,,
77768118794,115878324,91714416,115879149,825,,
77768503644,116263174,92099267,116264000,826,116262755,
77768618796,116378325,92214418,116378863,538,,
77769118798,116878328,92714420,116877911,-417,,
77769528470,117287999,93124092,117287584,-415,117288851,
77769618799,117378328,93214421,117378139,-189,,
77770118800,117878329,93714422,117879183,854,,
77770552446,118311975,94148068,118312830,855,118312629,
77770618802,118378331,94214423,118379158,827,,
77771118803,118878332,94714424,118878988,656,,
77771575705,119335235,95171327,119335891,656,119335605,
77771618804,119378334,95214426,119378963,629,,
77772118806,119878335,95714428,119878707,372,,
77772599505,120359035,96195128,120359408,373,120359579,
77772618807,120378336,96214429,120378712,376,,
77773118821,120878350,96714443,120878896,546,,
77773621653,121381183,97217276,121381730,547,121380609,
77773621662,121381192,97217285,121381736,544,,
77774121663,121881192,97717285,121880621,-571,,
77774641086,122400616,98236709,122400046,-570,122399128,
77774641095,122400625,98236718,122400054,-571,,
77775141097,122900626,98736718,122899141,-1485,,
77775660281,123419810,99255903,123418326,-1484,123417991,
77775660290,123419819,99255913,123418333,-1486,,
77776160291,123919820,99755912,123918003,-1817,,
77776680158,124439688,100275781,124437871,-1817,124437528,
77776680165,124439695,100275788,124437876,-1819,,
77777180166,124939695,100775787,124937537,-2158,,
77777680167,125439696,101275789,125437538,-2158,,
77777703942,125463472,101299565,125461314,-2158,125463523,
77778180168,125939697,101775790,125939646,-51,,
77778680170,126439699,102275792,126439753,54,,
77778723133,126482663,102318756,126482718,55,126480710,
77779180171,126939700,102775793,126937923,-1777,,
77779680172,127439702,103275794,127437753,-1949,,
77779757126,127516656,103352749,127514708,-1948,127520373,
77780180173,127939702,103775795,127942549,2847,,
77780680174,128439704,104275796,128443423,3719,,
77780780925,128540455,104376547,128544174,3719,128540883,
77781180176,128939705,104775797,128940799,1094,,
77781680177,129439706,105275799,129440139,433,,
77781804789,129564319,105400411,129564751,432,129564687,
77782180178,129939707,105775800,129940092,385,,
77782680179,130439708,106275800,130440078,370,,
77782824095,130583625,106419719,130583996,371,130581557,
77783180180,130939709,106775801,130938343,-1366,,
77783680181,131439710,107275802,131437644,-2066,,
77783848036,131607565,107443658,131605499,-2066,131607813,
77784180182,131939711,107775804,131939183,-528,,
77784680183,132439713,108275805,132439962,249,,
77784867809,132627339,108463432,132627589,250,132625549,
77785180184,132939714,108775806,132938690,-1024,,
77785680185,133439714,109275807,133437927,-1787,,
77785888784,133648314,109484407,133646527,-1787,133647103,
77786180187,133939716,109775808,133938265,-1451,,
77786680188,134439717,110275809,134438509,-1208,,
77786908425,134667955,110504048,134666748,-1207,134666120,
77787180190,134939719,110775812,134938170,-1549,,
77787680192,135439721,111275814,135437888,-1833,,
77787959811,135719341,111555433,135717508,-1833,135733603,
77788180194,135939723,111775815,135944985,5262,,
77788680196,136439725,112275818,136453990,14265,,
77788983006,136742536,112578629,136756801,14265,136742633,
77789180198,136939727,112775820,136948405,8678,,
77789680200,137439729,113275822,137439828,99,,
77790002126,137761655,113597748,137761755,100,137759630,
77790180201,137939731,113775823,137939073,-658,,
77790680203,138439732,114275825,138437709,-2023,,
77791025483,138785013,114621106,138782990,-2023,138785150,
77791180205,138939734,114775826,138938379,-1355,,
77791680206,139439735,115275828,139439875,140,,
77792044876,139804406,115640499,139804547,141,139802228,
77792180208,139939737,115775829,139939248,-489,,
77792680210,140439739,116275832,140437563,-2176,,
77793068894,140828423,116664516,140826248,-2175,140828821,
77793180211,140939741,116775833,140938136,-1605,,
77793680212,141439741,117275834,141440141,400,,
77794092161,141851691,117687784,141852092,401,141850908,
77794180214,141939744,117775836,141939934,190,,
77794680216,142439745,118275838,142438964,-781,,
77795115949,142875479,118711572,142874699,-780,142875756,
77795180217,142939747,118775839,142939100,-647,,
77795680219,143439748,119275840,143440028,280,,
77796139578,143899107,119735200,143899388,281,143899113,
77796180220,143939750,119775842,143940006,256,,
77796680222,144439752,120275844,144439759,7,,
77797162974,144922503,120758596,144922512,9,144922481,
77797180224,144939753,120775845,144939758,5,,
77797680225,145439754,121275847,145439734,-20,,
77798187182,145946711,121782804,145946692,-19,145946494,
77798187191,145946720,121782813,145946699,-21,,
77798687192,146446722,122282814,146446507,-215,,
77799210880,146970410,122806503,146970195,-215,146970208,
77799210887,146970417,122806510,146970200,-217,,
77799710889,147470418,123306511,147470218,-200,,
77800229958,147989488,123825580,147989288,-200,147987257,
77800229967,147989497,123825589,147989295,-202,,
77800729968,148489498,124325590,148487269,-2229,,
77801251879,149011409,124847502,149009181,-2228,149010711,
77801251887,149011417,124847509,149009188,-2229,,
77801751889,149511418,125347510,149510722,-696,,
