Max Drift,Rapport Period,Amortization Period,Avg. Error,Median Error,Max Absolute Error,Error Standard Deviation
10,10000000,5000000,-209.5242626,-162,3570,341.3115043
10,20000000,5000000,-293.3021746,-261,1447,241.8354284
10,30000000,5000000,-382.4436995,-360,1435,258.2776713
10,40000000,5000000,-455.0101874,-450,1412,275.3491006
10,50000000,5000000,-591.0412193,-586,1705,348.8041339
10,60000000,5000000,-688.6864584,-680,2056,401.4337781
20,10000000,5000000,-352.1286591,-280,7647,592.2198559
20,20000000,5000000,-548.2754515,-544,1374,265.1152142
20,30000000,5000000,-678.1771502,-679,1786,355.7497379
20,40000000,5000000,-908.5047064,-909,1988,436.8608213
20,50000000,5000000,-1200.194244,-1118,5859,837.4797077
20,60000000,5000000,-1314.331959,-1315,2960,669.8792953
30,10000000,5000000,-463.0284307,-441,1633,216.1229336
30,20000000,5000000,-789.4984408,-788,2093,335.1097692
30,30000000,5000000,-1154.381372,-1151,2998,506.4012691
30,40000000,5000000,-1333.876826,-1335,2743,630.5518456
30,50000000,5000000,-1688.598493,-1689,3674,804.2897992
30,60000000,5000000,-2140.667664,-2029,8669,1336.538945
40,10000000,5000000,-683.6460356,-642,4551,361.3579593
40,20000000,5000000,-1017.2609,-1017,3423,398.8403756
40,30000000,5000000,-1554.050006,-1444,10093,1138.085102
40,40000000,5000000,-1737.102824,-1738,3617,830.2231048
40,50000000,5000000,-2256.008573,-2256,4575,1065.92834
40,60000000,5000000,-2681.292123,-2682,5508,1287.384262
50,10000000,5000000,-800.4313499,-789,2010,248.169388
50,20000000,5000000,-1343.737015,-1344,2864,481.3453062
50,30000000,5000000,-1838.033119,-1816,10952,837.6277475
50,40000000,5000000,-2295.260331,-2296,4460,1028.462796
50,50000000,5000000,-2719.012529,-2719,5331,1308.40191
50,60000000,5000000,-3232.553675,-3232,6604,1599.732444
