Server clock before sync: 33
Synchronizing server_clock...
[1/51] [2/51] [3/51] [4/51] [5/51] [6/51] [7/51] [8/51] [9/51] [10/51] 
[11/51] [12/51] [13/51] [14/51] [15/51] [16/51] [17/51] [18/51] [19/51] [20/51] 
[21/51] [22/51] [23/51] [24/51] [25/51] [26/51] [27/51] [28/51] [29/51] [30/51] 
[31/51] [32/51] [33/51] [34/51] [35/51] [36/51] [37/51] [38/51] [39/51] [40/51] 
[41/51] [42/51] [43/51] [44/51] [45/51] [46/51] [47/51] [48/51] [49/51] [50/51] 
Best Server Sync RTT: 17764, Worst Server Sync RTT: 18782
Average RTT: 17968.020000
Est Server Time: 1656939962, Computed Server Time offset: 1656041177
Server clock after sync: 1656939963

====== SIMULATION METADATA     =====
Server IP: 128.83.139.94, Port: 8000
Server Drift: 0.00 PPM, Client VHC Drift: 0.00 PPM
Relative Drift Weight: -2.55
Local Server Time Error: 8882
Rapport Period: 2000000
Amortization Period: 1000000
Simulation runtime: 3600 seconds
Simulation runtime: 3600000000 usec, 
 Start: 4249663978, End: 7849663978
====== SIMULATION OUTPUT START =====
Current Real Time,Real Time Elapsed (sec),Local Server Time,Hardware Clock Time,Software Clock Time,Error,Remote Est Time,
4249663990,0.00001,1656939976,898800,898801,-1656041175,,
4249681834,0.01786,1656957821,916645,916645,-1656041176,1656957838,
4249931971,0.26799,1657207957,1166782,415407271,-1241800686,,
4250182542,0.51856,1657458527,1417352,830610426,-826848101,,
4250432701,0.76872,1657708686,1667511,1245134194,-412574492,,
4250683259,1.01928,1657959243,1918068,1657959262,19,,
4250933403,1.26943,1658209387,2168212,1658209406,19,,
4251183582,1.51960,1658459566,2418390,1658459585,19,,
4251433916,1.76994,1658709899,2668723,1658709917,18,,
4251684719,2.02074,1658960702,2919527,1658960721,19,,
4251702693,2.03871,1658978675,2937499,1658978694,19,1658978647,
4251952936,2.28896,1659228917,3187742,1659228924,7,,
4252203114,2.53914,1659479094,3437919,1659479090,-4,,
4252453386,2.78941,1659729366,3688191,1659729352,-14,,
4252703550,3.03957,1659979529,3938354,1659979504,-25,,
4252953774,3.28980,1660229753,4188577,1660229727,-26,,
4253204277,3.54030,1660480255,4439080,1660480229,-26,,
4253454728,3.79075,1660730705,4689530,1660730680,-25,,
4253705311,4.04133,1660981288,4940113,1660981262,-26,,
4253723308,4.05933,1660999283,4958107,1660999257,-26,1660999273,
4253974035,4.31006,1661250011,5208836,1661249989,-22,,
4254224662,4.56068,1661500638,5459462,1661500621,-17,,
4254475470,4.81149,1661751444,5710269,1661751431,-13,,
4254726379,5.06240,1662002353,5961178,1662002345,-8,,
4254976522,5.31254,1662252495,6211320,1662252487,-8,,
4255227116,5.56314,1662503089,6461914,1662503081,-8,,
4255477684,5.81371,1662753657,6712481,1662753649,-8,,
4255728407,6.06443,1663004378,6963203,1663004371,-7,,
4255746498,6.08252,1663022468,6981292,1663022459,-9,1663022424,
4255996625,6.33265,1663272597,7231422,1663272579,-18,,
4256247158,6.58318,1663523128,7481953,1663523102,-26,,
4256497284,6.83331,1663773253,7732077,1663773218,-35,,
4256747534,7.08356,1664023503,7982328,1664023462,-41,,
4256997653,7.33368,1664273621,8232446,1664273579,-42,,
4257248254,7.58428,1664524221,8483046,1664524179,-42,,
4257498417,7.83444,1664774385,8733209,1664774343,-42,,
4257749040,8.08506,1665025007,8983832,1665024965,-42,,
4257766946,8.10297,1665042911,9001735,1665042868,-43,1665042920,
4258017177,8.35320,1665293142,9251967,1665293113,-29,,
4258267759,8.60378,1665543724,9502549,1665543708,-16,,
4258518146,8.85417,1665794110,9752935,1665794108,-2,,
4258768277,9.10430,1666044240,10003065,1666044251,11,,
4259018897,9.35492,1666294860,10253685,1666294872,12,,
4259269418,9.60544,1666545381,10504205,1666545392,11,,
4259519809,9.85583,1666795771,10754596,1666795782,11,,
4259770125,10.10615,1667046087,11004912,1667046098,11,,
4259788136,10.12416,1667064097,11022921,1667064107,10,1667064039,
4260038524,10.37455,1667314484,11273309,1667314488,4,,
4260289240,10.62526,1667565201,11524026,1667565178,-23,,
4260540076,10.87610,1667816035,11774859,1667815996,-39,,
4260790566,11.12659,1668066524,12025348,1668066468,-56,,
4261040700,11.37672,1668316659,12275483,1668316603,-56,,
4261290840,11.62686,1668566798,12525622,1668566742,-56,,
4261541173,11.87720,1668817130,12775954,1668817074,-56,,
4261791329,12.12735,1669067285,13026110,1669067229,-56,,
4261809447,12.14547,1669085403,13044227,1669085346,-57,1669085357,
4262059607,12.39563,1669335562,13294387,1669335509,-53,,
4262309747,12.64577,1669585701,13544526,1669585651,-50,,
4262560369,12.89639,1669836323,13795148,1669836277,-46,,
4262810493,13.14652,1670086446,14045271,1670086402,-44,,
4263060678,13.39670,1670336632,14295456,1670336588,-44,,
4263311136,13.64716,1670587089,14545913,1670587044,-45,,
4263561249,13.89727,1670837200,14796025,1670837156,-44,,
4263811606,14.14763,1671087557,15046382,1671087513,-44,,
4263829568,14.16559,1671105518,15064343,1671105474,-44,1671105491,
4264080028,14.41605,1671355978,15314802,1671355938,-40,,
4264330200,14.66622,1671606150,15564975,1671606115,-35,,
4264580345,14.91637,1671856294,15815119,1671856264,-30,,
4264830752,15.16677,1672106700,16065525,1672106674,-26,,
4265080935,15.41696,1672356882,16315707,1672356856,-26,,
4265331850,15.66787,1672607798,16566623,1672607772,-26,,
4265581976,15.91800,1672857923,16816747,1672857897,-26,,
4265832114,16.16814,1673108059,17066884,1673108033,-26,,
4265850013,16.18604,1673125957,17084782,1673125931,-26,1673125937,
