Server clock before sync: 29
Synchronizing server_clock...
[1/51] [2/51] [3/51] [4/51] [5/51] [6/51] [7/51] [8/51] [9/51] [10/51] 
[11/51] [12/51] [13/51] [14/51] [15/51] [16/51] [17/51] [18/51] [19/51] [20/51] 
[21/51] [22/51] [23/51] [24/51] [25/51] [26/51] [27/51] [28/51] [29/51] [30/51] 
[31/51] [32/51] [33/51] [34/51] [35/51] [36/51] [37/51] [38/51] [39/51] [40/51] 
[41/51] [42/51] [43/51] [44/51] [45/51] [46/51] [47/51] [48/51] [49/51] [50/51] 
Best Server Sync RTT: 17870, Worst Server Sync RTT: 19099
Average RTT: 18042.020000
Est Server Time: 2445930843, Computed Server Time offset: 2445028177
Server clock after sync: 2445930844

====== SIMULATION METADATA     =====
Server IP: 128.83.139.94, Port: 8000
Server Drift: 0.00 PPM, Client VHC Drift: 0.00 PPM
Relative Drift Weight: -3.40
Local Server Time Error: 8935
Rapport Period: 2000000
Amortization Period: 1000000
Simulation runtime: 1600 seconds
Simulation runtime: 1600000000 usec, 
 Start: 68257574, End: 1668257574
====== SIMULATION OUTPUT START =====
Current Real Time,Real Time Elapsed (sec),Local Server Time,Hardware Clock Time,Software Clock Time,Error,Remote Est Time,
68257779,0.00020,2445931050,902874,902874,-2445028176,,
68275971,0.01840,2445949241,921066,921066,-2445028175,2445949126,
68526526,0.26895,2446199796,1171621,613790508,-1832409288,,
68776652,0.51908,2446449921,1421746,1225603280,-1220846641,,
69026822,0.76925,2446700090,1671915,1837521231,-609178859,,
69277413,1.01984,2446950680,1922505,2446950566,-114,,
69527549,1.26998,2447200816,2172640,2447200702,-114,,
69778174,1.52060,2447451440,2423265,2447451327,-113,,
70028479,1.77090,2447701744,2673569,2447701630,-114,,
70278621,2.02105,2447951885,2923709,2447951771,-114,,
70296628,2.03905,2447969891,2941715,2447969776,-115,2447969881,
70546792,2.28922,2448220055,3191879,2448219967,-88,,
70796911,2.53934,2448470183,3442008,2448470121,-62,,
71047065,2.78949,2448720326,3692151,2448720291,-35,,
71297670,3.04010,2448970931,3942755,2448970923,-8,,
71547911,3.29034,2449221171,4192996,2449221163,-8,,
71798354,3.54078,2449471613,4443438,2449471605,-8,,
72048501,3.79093,2449721759,4693583,2449721751,-8,,
72298780,4.04121,2449972037,4943862,2449972029,-8,,
72316899,4.05933,2449990155,4961979,2449990147,-8,2449990175,
72567501,4.30993,2450240756,5212581,2450240754,-2,,
72817639,4.56006,2450490894,5462728,2450490909,15,,
73068008,4.81043,2450741263,5713088,2450741276,13,,
73318477,5.06090,2450991731,5963556,2450991752,21,,
73568595,5.31102,2451241848,6213672,2451241868,20,,
73818684,5.56111,2451491936,6463761,2451491957,21,,
74068822,5.81125,2451742073,6713897,2451742105,32,,
74319333,6.06176,2451992584,6964409,2451992606,22,,
74337436,6.07986,2452010685,6982509,2452010716,31,2452010757,
74587571,6.33000,2452260830,7232655,2452260864,34,,
74837725,6.58015,2452510974,7482798,2452511031,57,,
75087888,6.83031,2452761137,7732961,2452761198,61,,
75338185,7.08061,2453011433,7983257,2453011507,74,,
75588338,7.33076,2453261584,8233408,2453261658,74,,
75838743,7.58117,2453511988,8483812,2453512062,74,,
76089275,7.83170,2453762520,8734344,2453762594,74,,
76340316,8.08274,2454013560,8985384,2454013634,74,,
76358700,8.10113,2454031942,9003766,2454032016,74,2454032014,
76608873,8.35130,2454282116,9253941,2454282190,74,,
76859731,8.60216,2454532973,9504798,2454533048,75,,
77110332,8.85276,2454783574,9755399,2454783648,74,,
77361059,9.10348,2455034299,10006124,2455034373,74,,
77611404,9.35383,2455284644,10256468,2455284717,73,,
77861568,9.60399,2455534807,10506632,2455534881,74,,
78111718,9.85414,2455784956,10756781,2455785030,74,,
78361975,10.10440,2456035213,11007037,2456035287,74,,
78380032,10.12246,2456053268,11025093,2456053342,74,2456053262,
78630534,10.37296,2456303770,11275594,2456303816,46,,
78880905,10.62333,2456554140,11525964,2456554169,29,,
79131084,10.87351,2456804318,11776143,2456804330,12,,
79381296,11.12372,2457054529,12026354,2457054524,-5,,
79631442,11.37387,2457304674,12276499,2457304670,-4,,
79881598,11.62402,2457554828,12526653,2457554824,-4,,
80131735,11.87416,2457804965,12776790,2457804960,-5,,
80382210,12.12464,2458055440,13027265,2458055435,-5,,
80400262,12.14269,2458073492,13045316,2458073487,-5,2458073486,
80650960,12.39339,2458324190,13296015,2458324185,-5,,
80901088,12.64351,2458574316,13546141,2458574312,-4,,
81151239,12.89367,2458824466,13796290,2458824462,-4,,
81401893,13.14432,2459075119,14046944,2459075115,-4,,
81652422,13.39485,2459325647,14297472,2459325643,-4,,
81903030,13.64546,2459576254,14548079,2459576250,-4,,
82153173,13.89560,2459826397,14798223,2459826394,-3,,
82403397,14.14582,2460076620,15048445,2460076617,-3,,
82421426,14.16385,2460094648,15066473,2460094644,-4,2460094647,
82671578,14.41400,2460344800,15316625,2460344797,-3,,
82922149,14.66457,2460595370,15567194,2460595368,-2,,
83172289,14.91471,2460845508,15817333,2460845518,10,,
83422820,15.16525,2461096039,16067863,2461096039,0,,
83673310,15.41574,2461346529,16318353,2461346529,0,,
83923475,15.66590,2461596692,16568517,2461596692,0,,
84173605,15.91603,2461846822,16818646,2461846833,11,,
84423751,16.16618,2462096968,17068793,2462096968,0,,
84441806,16.18423,2462115022,17086846,2462115034,12,2462115037,
84691916,16.43434,2462365132,17336956,2462365135,3,,
84942561,16.68499,2462615775,17587600,2462615783,8,,
85192745,16.93517,2462865959,17837784,2462865971,12,,
85442951,17.18538,2463116164,18087989,2463116181,17,,
85693113,17.43554,2463366326,18338150,2463366342,16,,
85943246,17.68567,2463616457,18588282,2463616475,18,,
86193902,17.93633,2463867112,18838936,2463867129,17,,
86444455,18.18688,2464117664,19089488,2464117681,17,,
86462542,18.20497,2464135751,19107575,2464135767,16,2464135806,
86713330,18.45576,2464386539,19358363,2464386566,27,,
86964215,18.70664,2464637422,19609246,2464637459,37,,
87214310,18.95674,2464887516,19859341,2464887563,47,,
87464710,19.20714,2465137917,20109741,2465137974,57,,
87714863,19.45729,2465388068,20359893,2465388125,57,,
87965036,19.70746,2465638241,20610065,2465638298,57,,
88215167,19.95759,2465888370,20860195,2465888427,57,,
88465313,20.20774,2466138515,21110339,2466138572,57,,
88483354,20.22578,2466156555,21128380,2466156612,57,2466156508,
88733528,20.47595,2466406729,21378554,2466406760,31,,
88984149,20.72658,2466657350,21629174,2466657355,5,,
89234267,20.97669,2466907468,21879292,2466907447,-21,,
89484502,21.22693,2467157700,22129535,2467157664,-36,,
89735124,21.47755,2467408323,22380147,2467408277,-46,,
89985288,21.72771,2467658485,22630310,2467658439,-46,,
90235440,21.97787,2467908636,22880460,2467908590,-46,,
90485568,22.22799,2468158762,23130587,2468158716,-46,,
90503945,22.24637,2468177140,23148964,2468177093,-47,2468176979,
90754470,22.49690,2468427665,23399489,2468427589,-76,,
91005026,22.74745,2468678230,23650054,2468678127,-103,,
91255454,22.99788,2468928647,23900472,2468928517,-130,,
91505782,23.24821,2469178974,24150799,2469178815,-159,,
91755914,23.49834,2469429105,24400929,2469428946,-159,,
92006538,23.74896,2469679728,24651553,2469679569,-159,,
92256672,23.99910,2469929861,24901686,2469929702,-159,,
92507747,24.25017,2470180945,25152769,2470180786,-159,,
92526130,24.26856,2470199318,25171142,2470199159,-159,2470199195,
92776347,24.51877,2470449535,25421360,2470449385,-150,,
93026678,24.76910,2470699865,25671690,2470699725,-140,,
93277012,25.01944,2470950198,25922023,2470950067,-131,,
93527138,25.26956,2471200324,26172149,2471200203,-121,,
93777288,25.51971,2471450472,26422297,2471450351,-121,,
94027403,25.76983,2471700586,26672411,2471700465,-121,,
94277549,26.01997,2471950731,26922555,2471950610,-121,,
94527892,26.27032,2472201074,27172899,2472200953,-121,,
94546229,26.28865,2472219410,27191235,2472219289,-121,2472219279,
94796738,26.53916,2472469919,27441744,2472469797,-122,,
95047090,26.78952,2472720274,27692099,2472720149,-125,,
95297234,27.03966,2472970414,27942239,2472970287,-127,,
95547396,27.28982,2473220574,28192399,2473220446,-128,,
95798349,27.54078,2473471527,28443351,2473471398,-129,,
96048494,27.79092,2473721671,28693496,2473721542,-129,,
96298638,28.04106,2473971814,28943638,2473971685,-129,,
96548755,28.29118,2474221930,29193754,2474221801,-129,,
96566844,28.30927,2474240019,29211843,2474239889,-130,2474239976,
96817026,28.55945,2474490200,29462025,2474490092,-108,,
97067485,28.80991,2474740658,29712482,2474740572,-86,,
97318354,29.06078,2474991526,29963351,2474991463,-63,,
97568490,29.31092,2475241661,30213486,2475241620,-41,,
97818631,29.56106,2475491801,30463625,2475491760,-41,,
98068922,29.81135,2475742092,30713917,2475742051,-41,,
98319378,30.06180,2475992547,30964372,2475992506,-41,,
98569486,30.31191,2476242653,31214478,2476242612,-41,,
98587485,30.32991,2476260653,31232477,2476260611,-42,2476260672,
98838349,30.58077,2476511516,31483341,2476511489,-27,,
99088933,30.83136,2476762099,31733923,2476762088,-11,,
99339370,31.08180,2477012535,31984360,2477012540,5,,
99590006,31.33243,2477263170,32234995,2477263191,21,,
99840164,31.58259,2477513328,32485153,2477513349,21,,
100090310,31.83274,2477763473,32735298,2477763495,22,,
100340774,32.08320,2478013950,32985775,2478013971,21,,
100590908,32.33333,2478264070,33235894,2478264091,21,,
100608939,32.35137,2478282099,33253924,2478282120,21,2478282092,
100859470,32.60190,2478532631,33504455,2478532645,14,,
101109589,32.85202,2478782748,33754572,2478782765,17,,
101360229,33.10265,2479033388,34005213,2479033389,1,,
101610361,33.35279,2479283519,34255343,2479283513,-6,,
101860972,33.60340,2479534129,34505954,2479534124,-5,,
102111102,33.85353,2479784269,34756094,2479784263,-6,,
102361377,34.10380,2480034533,35006358,2480034527,-6,,
102611531,34.35396,2480284684,35256509,2480284679,-5,,
102629675,34.37210,2480302828,35274653,2480302822,-6,2480302826,
102880197,34.62262,2480553350,35525174,2480553344,-6,,
103130327,34.87275,2480803480,35775305,2480803476,-4,,
103380481,35.12291,2481053633,36025458,2481053630,-3,,
