Current Real Time,Real Time Elapsed (sec),Local Server Time,Hardware Clock Time,Software Clock Time,Error,Remote Est Time,
4886134327,0.00069,7263790790,807797,807797,-7262982993,,
4886150412,0.01677,7263806875,823881,823882,-7262982993,7263806781,
4886400889,0.26725,7264057353,1074360,1820313581,-5443743772,,
4886651420,0.51778,7264307883,1324890,3640151953,-3624155930,,
4886901573,0.76793,7264558034,1575041,5457244540,-1807313494,,
4887151743,1.01810,7264808205,1825212,7264808113,-92,,
4887402175,1.26854,7265058636,2075643,7265058544,-92,,
4887652581,1.51894,7265309041,2326048,7265308950,-91,,
4887902883,1.76924,7265559342,2576348,7265559250,-92,,
4888153009,2.01937,7265809466,2826473,7265809375,-91,,
4888169077,2.03544,7265825534,2842540,7265825441,-93,7265825524,
4888419325,2.28569,7266075781,3092788,7266075709,-72,,
4888669458,2.53582,7266325913,3342919,7266325862,-51,,
4888919995,2.78636,7266576450,3593456,7266576420,-30,,
4889170593,3.03695,7266827047,3844054,7266827039,-8,,
4889420738,3.28710,7267077190,4094196,7267077182,-8,,
4889670929,3.53729,7267327381,4344388,7267327373,-8,,
4889921396,3.78776,7267577847,4594854,7267577839,-8,,
4890171694,4.03805,7267828144,4845151,7267828137,-7,,
4890188242,4.05460,7267844691,4861698,7267844683,-8,7267844486,
4890438454,4.30481,7268094903,5111910,7268094846,-57,,
4890689100,4.55546,7268345549,5362556,7268345442,-107,,
4890939410,4.80577,7268595858,5612865,7268595702,-156,,
4891189553,5.05591,7268845999,5863006,7268845795,-204,,
4891439694,5.30605,7269096139,6113146,7269095935,-204,,
4891689838,5.55620,7269346282,6363289,7269346078,-204,,
4891939997,5.80636,7269596441,6613458,7269596248,-193,,
4892190349,6.05671,7269846793,6863800,7269846589,-204,,
4892206443,6.07280,7269862885,6879892,7269862681,-204,7269862929,
4892457001,6.32336,7270113443,7130450,7270113301,-142,,
4892707625,6.57399,7270364066,7381084,7270363997,-69,,
4892957751,6.82411,7270614192,7631198,7270614175,-17,,
4893207894,7.07425,7270864343,7881349,7270864388,45,,
4893458178,7.32454,7271114616,8131623,7271114661,45,,
4893708913,7.57527,7271365351,8382357,7271365396,45,,
4893959063,7.82542,7271615499,8632506,7271615545,46,,
4894209443,8.07580,7271865878,8882885,7271865924,46,,
4894225808,8.09217,7271882254,8899261,7271882299,45,7271882216,
4894475955,8.34232,7272132389,9149396,7272132416,27,,
4894726961,8.59332,7272383395,9400402,7272383405,10,,
4894977153,8.84351,7272633587,9650593,7272633579,-8,,
4895227799,9.09416,7272884232,9901238,7272884207,-25,,
4895478082,9.34444,7273134514,10151520,7273134489,-25,,
4895728242,9.59460,7273384672,10401679,7273384648,-24,,
4895978697,9.84506,7273635126,10652133,7273635102,-24,,
4896228854,10.09521,7273885282,10902289,7273885257,-25,,
4896245233,10.11159,7273901660,10918666,7273901635,-25,7273901566,
4896495379,10.36174,7274151807,11168814,7274151765,-42,,
4896745639,10.61200,7274402065,11419072,7274402006,-59,,
4896995758,10.86212,7274652183,11669190,7274652107,-76,,
4897246330,11.11269,7274902756,11919762,7274902663,-93,,
4897496487,11.36285,7275152912,12169919,7275152820,-92,,
4897746645,11.61301,7275403068,12420075,7275402975,-93,,
4897997366,11.86373,7275653789,12670795,7275653696,-93,,
4898247460,12.11382,7275903881,12920887,7275903788,-93,,
4898263971,12.13033,7275920391,12937397,7275920298,-93,7275920560,
4898514098,12.38046,7276170519,13187526,7276170492,-27,,
4898764731,12.63109,7276421149,13438156,7276421188,39,,
4899014880,12.88124,7276671298,13688305,7276671403,105,,
4899264992,13.13135,7276921409,13938416,7276921580,171,,
4899515188,13.38155,7277171605,14188611,7277171776,171,,
4899765574,13.63194,7277421990,14438997,7277422161,171,,
4900016137,13.88250,7277672552,14689559,7277672723,171,,
4900266255,14.13262,7277922669,14939675,7277922840,171,,
4900282181,14.14854,7277938594,14955601,7277938765,171,7277938602,
4900532807,14.39917,7278189221,15206228,7278189352,131,,
4900783262,14.64962,7278439674,15456692,7278439775,101,,
4901033398,14.89976,7278689809,15706817,7278689860,51,,
4901283509,15.14987,7278939920,15956926,7278939930,10,,
4901534349,15.40071,7279190758,16207765,7279190769,11,,
4901785003,15.65136,7279441412,16458419,7279441422,10,,
4902035404,15.90176,7279691813,16708819,7279691823,10,,
4902286345,16.15271,7279942753,16959760,7279942763,10,,
4902302345,16.16871,7279958752,16975758,7279958762,10,7279958767,
4902552528,16.41889,7280208934,17225941,7280208945,11,,
4902803162,16.66952,7280459568,17476574,7280459581,13,,
4903053297,16.91966,7280709701,17726707,7280709716,15,,
4903303460,17.16982,7280959863,17976870,7280959880,17,,
4903553591,17.41995,7281209993,18227000,7281210010,17,,
4903803714,17.67008,7281460116,18477123,7281460133,17,,
4904054340,17.92070,7281710741,18727748,7281710758,17,,
4904304835,18.17120,7281961235,18978242,7281961252,17,,
4904321045,18.18741,7281977443,18994450,7281977460,17,7281977343,
4904571676,18.43804,7282228074,19245080,7282228061,-13,,
4904822351,18.68871,7282478749,19495756,7282478707,-42,,
4905072559,18.93892,7282728956,19745963,7282728885,-71,,
4905322825,19.18919,7282979222,19996229,7282979123,-99,,
4905573027,19.43939,7283229422,20246428,7283229322,-100,,
4905823284,19.68964,7283479678,20496685,7283479580,-98,,
4906073420,19.93978,7283729813,20746820,7283729725,-88,,
4906324402,20.19076,7283980795,20997801,7283980696,-99,,
4906340677,20.20704,7283997069,21014075,7283996969,-100,7283997049,
4906590794,20.45716,7284247186,21264192,7284247106,-80,,
4906840931,20.70729,7284497322,21514339,7284497274,-48,,
4907091379,20.95774,7284747770,21764776,7284747732,-38,,
4907342344,21.20870,7284998733,22015740,7284998716,-17,,
