Current Real Time,Local Server Time,Hardware Clock Time,Software Clock Time,Error,Remote Est Time,
94832904,7976190482,901194,901195,-7975289287,,
94850868,7976208446,919159,919159,-7975289287,7976208509,
95101164,7976458743,1169455,1997368429,-5979090314,,
95351411,7976708990,1419703,3993410911,-3983298079,,
95601572,7976959151,1669864,5988767431,-1988191720,,
95851949,7977209528,1920241,7977209592,64,,
96102767,7977460347,2171060,7977460411,64,,
96353155,7977710735,2421448,7977710799,64,,
96603917,7977961497,2672210,7977961562,65,,
96854106,7978211686,2922398,7978211750,64,,
96872422,7978230000,2940713,7978230064,64,7978230135,
97122997,7978480577,3191290,7978480658,81,,
97373494,7978731074,3441787,7978731174,100,,
97624332,7978981911,3692624,7978982030,119,,
97875848,7979233427,3944140,7979233563,136,,
98126467,7979484046,4194758,7979484182,136,,
98376991,7979734571,4445284,7979734707,136,,
98627208,7979984787,4695500,7979984924,137,,
98877839,7980235419,4946132,7980235555,136,,
98895989,7980253568,4964280,7980253703,135,7980253630,
99146163,7980503741,5214454,7980503858,117,,
99396746,7980754326,5465039,7980754425,99,,
99647059,7981004648,5715361,7981004729,81,,
99897407,7981254987,5965699,7981255051,64,,
100147858,7981505437,6216150,7981505501,64,,
100398311,7981755890,6466603,7981755954,64,,
100648825,7982006404,6717126,7982006478,74,,
100899235,7982256814,6967527,7982256888,74,,
100917423,7982275001,6985713,7982275065,64,7982275052,
101167598,7982525177,7235889,7982525248,71,,
101417805,7982775384,7486097,7982775444,60,,
101668059,7983025648,7736361,7983025704,56,,
101918262,7983275841,7986554,7983275894,53,,
102168566,7983526155,8236868,7983526208,53,,
102419176,7983776755,8487468,7983776808,53,,
102669574,7984027163,8737875,7984027216,53,,
102919744,7984277322,8988035,7984277375,53,,
102937710,7984295288,9006000,7984295341,53,7984295348,
103188292,7984545870,9256583,7984545924,54,,
103438703,7984796293,9507005,7984796350,57,,
103688989,7985046578,9757290,7985046637,59,,
103939539,7985297119,10007831,7985297180,61,,
104189945,7985547524,10258236,7985547585,61,,
104440485,7985798064,10508777,7985798125,61,,
104690681,7986048260,10758973,7986048322,62,,
104941193,7986298772,11009484,7986298843,71,,
104959116,7986316695,11027407,7986316755,60,7986316759,
105209645,7986567224,11277937,7986567286,62,,
105459838,7986817417,11528130,7986817480,63,,
105710238,7987067817,11778530,7987067883,66,,
105961194,7987318774,12029486,7987318840,66,,
106211650,7987569229,12279952,7987569305,76,,
106462094,7987819674,12530386,7987819740,66,,
106712986,7988070564,12781277,7988070630,66,,
106963571,7988321160,13031873,7988321226,66,,
106981615,7988339194,13049906,7988339259,65,7988339169,
107231848,7988589426,13300138,7988589479,53,,
107482190,7988839770,13550483,7988839791,21,,
107732900,7989090479,13801191,7989090477,-2,,
107983390,7989340969,14051681,7989340946,-23,,
108234174,7989591753,14302465,7989591730,-23,,
108484295,7989841875,14552587,7989841852,-23,,
108734889,7990092467,14803180,7990092444,-23,,
108985274,7990342863,15053575,7990342840,-23,,
109003209,7990360787,15071499,7990360763,-24,7990360840,
109253528,7990611107,15321819,7990611103,-4,,
109503979,7990861558,15572271,7990861575,17,,
109754837,7991112416,15823129,7991112451,35,,
110004956,7991362535,16073248,7991362590,55,,
110255057,7991612635,16323348,7991612690,55,,
110505327,7991862906,16573619,7991862961,55,,
110755830,7992113409,16824122,7992113465,56,,
111005958,7992363537,17074249,7992363592,55,,
111024161,7992381740,17092452,7992381794,54,7992381666,
111274769,7992632357,17343070,7992632381,24,,
111525319,7992882899,17593612,7992882890,-9,,
111775775,7993133354,17844067,7993133314,-40,,
112026205,7993383784,18094497,7993383713,-71,,
112276729,7993634308,18345021,7993634236,-72,,
112527535,7993885115,18595827,7993885043,-72,,
112778039,7994135618,18846331,7994135546,-72,,
113028744,7994386323,19097035,7994386251,-72,,
113046800,7994404378,19115091,7994404306,-72,7994404367,
113297648,7994655227,19365940,7994655171,-56,,
113548287,7994905866,19616579,7994905825,-41,,
113798972,7995156551,19867264,7995156526,-25,,
114049606,7995407185,20117898,7995407175,-10,,
114300399,7995657978,20368691,7995657969,-9,,
114550861,7995908440,20619153,7995908430,-10,,
114801314,7996158893,20869606,7996158883,-10,,
115052069,7996409649,21120361,7996409639,-10,,
115070112,7996427691,21138403,7996427680,-11,7996427724,
115320356,7996677936,21388648,7996677937,1,,
115571087,7996928667,21639380,7996928680,13,,
115821809,7997179388,21890101,7997179412,24,,
116072260,7997429840,22140553,7997429875,35,,
116322928,7997680507,22391219,7997680542,35,,
116573440,7997931019,22641732,7997931054,35,,
116824144,7998181723,22892435,7998181758,35,,
117074578,7998432157,23142869,7998432192,35,,
117092745,7998450323,23161036,7998450358,35,7998450429,
117343418,7998700997,23411710,7998701050,53,,
117593674,7998951254,23661967,7998951325,71,,
117844032,7999201611,23912324,7999201701,90,,
118094635,7999452214,24162927,7999452322,108,,
118344959,7999702539,24413251,7999702647,108,,
118595573,7999953153,24663866,7999953261,108,,
118846277,8000203856,24914569,8000203965,109,,
119096760,8000454354,25165066,8000454461,107,,
119114819,8000472398,25183110,8000472505,107,8000472423,
119365068,8000722647,25433359,8000722733,86,,
119615651,8000973229,25683942,8000973296,67,,
119866073,8001223651,25934374,8001223709,58,,
120116205,8001473783,26184496,8001473810,27,,
120366425,8001724004,26434716,8001724030,26,,
120616752,8001974331,26685044,8001974358,27,,
120867552,8002225130,26935853,8002225167,37,,
121117755,8002475334,27186046,8002475361,27,,
121135873,8002493451,27204164,8002493478,27,8002493435,
121386384,8002743963,27454675,8002743978,15,,
121636798,8002994376,27705089,8002994381,5,,
121887177,8003244756,27955469,8003244752,-4,,
122137371,8003494950,28205662,8003494945,-5,,
122387675,8003745254,28455966,8003745238,-16,,
122637921,8003995511,28706223,8003995496,-15,,
122888481,8004246060,28956782,8004246055,-5,,
123139046,8004496635,29207348,8004496620,-15,,
123157222,8004514800,29225512,8004514785,-15,8004514846,
123407338,8004764916,29475629,8004764917,1,,
123657998,8005015577,29726289,8005015594,17,,
123908231,8005265809,29976532,8005265852,43,,
124158616,8005516196,30226908,8005516244,48,,
124408959,8005766537,30477250,8005766585,48,,
124659259,8006016837,30727549,8006016885,48,,
124909536,8006267125,30977838,8006267173,48,,
125160378,8006517967,31228680,8006518015,48,,
125178356,8006535934,31246647,8006535982,48,8006535947,
125429032,8006786611,31497323,8006786650,39,,
125679223,8007036811,31747524,8007036841,30,,
125929947,8007287526,31998248,8007287558,32,,
126180112,8007537691,32248403,8007537704,13,,
126430696,8007788275,32498987,8007788289,14,,
126681132,8008038710,32749423,8008038724,14,,
126931380,8008288960,32999672,8008288974,14,,
127181649,8008539228,33249940,8008539241,13,,
127199830,8008557408,33268121,8008557422,14,8008557403,
127449989,8008807568,33518280,8008807587,19,,
127700281,8009057860,33768573,8009057865,5,,
127950710,8009308289,34019002,8009308290,1,,
128201086,8009558665,34269378,8009558661,-4,,
128451561,8009809139,34519852,8009809135,-4,,
128701928,8010059517,34770230,8010059513,-4,,
128952074,8010309653,35020365,8010309649,-4,,
129202489,8010560067,35270780,8010560063,-4,,
129220633,8010578212,35288924,8010578207,-5,8010578241,
129470997,8010828576,35539288,8010828579,3,,
129721170,8011078759,35789471,8011078772,13,,
129971990,8011329569,36040282,8011329591,22,,
130222462,8011580040,36290753,8011580071,31,,
130472707,8011830286,36540999,8011830317,31,,
130722882,8012080462,36791175,8012080493,31,,
130973710,8012331289,37042001,8012331319,30,,
131224364,8012581943,37292655,8012581973,30,,
131242512,8012600090,37310803,8012600121,31,8012600066,
131492916,8012850494,37561207,8012850511,17,,
131743726,8013101305,37812018,8013101309,4,,
131994249,8013351828,38062541,8013351818,-10,,
132244518,8013602097,38312810,8013602075,-22,,
132494801,8013852380,38563107,8013852371,-9,,
132745403,8014102991,38813704,8014102968,-23,,
132996122,8014353700,39064413,8014353688,-12,,
133247001,8014604580,39315292,8014604557,-23,,
133265051,8014622630,39333342,8014622606,-24,8014622616,
133515562,8014873141,39583853,8014873130,-11,,
133766135,8015123714,39834437,8015123706,-8,,
134016726,8015374305,40085018,8015374291,-14,,
134267140,8015624719,40335441,8015624717,-2,,
134517774,8015875353,40586076,8015875351,-2,,
134768185,8016125764,40836476,8016125763,-1,,
135019113,8016376692,41087404,8016376679,-13,,
135269266,8016626844,41337557,8016626832,-12,,
135287366,8016644944,41355656,8016644932,-12,8016644929,
135538131,8016895710,41606423,8016895697,-13,,
135788677,8017146256,41856969,8017146243,-13,,
136039665,8017397244,42107956,8017397231,-13,,
136290301,8017647880,42358592,8017647866,-14,,
136540857,8017898435,42609158,8017898433,-2,,
136791551,8018149130,42859843,8018149127,-3,,
137041842,8018399421,43110144,8018399419,-2,,
137292444,8018650023,43360736,8018650010,-13,,
137310496,8018668074,43378787,8018668061,-13,8018668047,
137560741,8018918319,43629031,8018918302,-17,,
137811162,8019168741,43879453,8019168720,-21,,
138061759,8019419338,44130050,8019419315,-23,,
138311932,8019669510,44380223,8019669484,-26,,
138562284,8019919863,44630576,8019919837,-26,,
138812777,8020170357,44881069,8020170331,-26,,
139063307,8020420886,45131598,8020420860,-26,,
139313475,8020671054,45381766,8020671028,-26,,
139331569,8020689147,45399860,8020689121,-26,8020689135,
139581955,8020939533,45650246,8020939510,-23,,
139832434,8021190013,45900725,8021189994,-19,,
140082670,8021440249,46150962,8021440234,-15,,
