Server clock before sync: 37
Synchronizing server_clock...
[1/51] [2/51] [3/51] [4/51] [5/51] [6/51] [7/51] [8/51] [9/51] [10/51] 
[11/51] [12/51] [13/51] [14/51] [15/51] [16/51] [17/51] [18/51] [19/51] [20/51] 
[21/51] [22/51] [23/51] [24/51] [25/51] [26/51] [27/51] [28/51] [29/51] [30/51] 
[31/51] [32/51] [33/51] [34/51] [35/51] [36/51] [37/51] [38/51] [39/51] [40/51] 
[41/51] [42/51] [43/51] [44/51] [45/51] [46/51] [47/51] [48/51] [49/51] [50/51] 
Best Server Sync RTT: 18031, Worst Server Sync RTT: 19612
Average RTT: 18243.680000
Est Server Time: 2331798127, Computed Server Time offset: 2330885616
Server clock after sync: 2331798129

====== SIMULATION METADATA     =====
Server IP: 128.83.139.94, Port: 8000
Server Drift: 0.00 PPM, Client VHC Drift: 0.00 PPM
Relative Drift Weight: -3.40
Local Server Time Error: 9015
Rapport Period: 2000000
Amortization Period: 1000000
Simulation runtime: 3600 seconds
Simulation runtime: 3600000000 usec, 
 Start: 4924524702, End: 8524524702
====== SIMULATION OUTPUT START =====
Current Real Time,Real Time Elapsed (sec),Local Server Time,Hardware Clock Time,Software Clock Time,Error,Remote Est Time,
4924524852,0.00015,2331798279,912665,912665,-2330885614,,
4924543017,0.01832,2331816444,930830,930830,-2330885614,2331816449,
4924793599,0.26890,2332067027,1181412,585266386,-1746800641,,
4925043760,0.51906,2332317187,1431572,1168608561,-1163708626,,
4925294077,0.76938,2332567501,1681887,1752314510,-580252991,,
4925544212,1.01951,2332817636,1932021,2332817643,7,,
4925794333,1.26963,2333067756,2182142,2333067763,7,,
4926044669,1.51997,2333318093,2432479,2333318100,7,,
4926294955,1.77025,2333568377,2682763,2333568384,7,,
4926545414,2.02071,2333818835,2933221,2333818843,8,,
4926563665,2.03896,2333837085,2951470,2333837092,7,2333837104,
4926813802,2.28910,2334087223,3201609,2334087234,11,,
4927064115,2.53941,2334337534,3451920,2334337548,14,,
4927314670,2.78997,2334588089,3702474,2334588107,18,,
4927565043,3.04034,2334838462,3952848,2334838483,21,,
4927815363,3.29066,2335088780,4203166,2335088801,21,,
4928065499,3.54080,2335338915,4453301,2335338936,21,,
4928316194,3.79149,2335589609,4703995,2335589630,21,,
4928566527,4.04183,2335839941,4954327,2335839962,21,,
4928584604,4.05990,2335858017,4972402,2335858038,21,2335858005,
4928834747,4.31004,2336108160,5222546,2336108172,12,,
4929085274,4.56057,2336358686,5473072,2336358691,5,,
4929335825,4.81112,2336609237,5723622,2336609234,-3,,
4929586397,5.06170,2336859808,5974194,2336859797,-11,,
4929836766,5.31206,2337110176,6224562,2337110165,-11,,
4930087315,5.56261,2337360725,6475110,2337360714,-11,,
4930337773,5.81307,2337611181,6725567,2337611171,-10,,
4930588103,6.06340,2337861510,6975896,2337861500,-10,,
4930606410,6.08171,2337879816,6994201,2337879805,-11,2337879812,
4930857037,6.33233,2338130443,7244828,2338130434,-9,,
4931107353,6.58265,2338380759,7495145,2338380752,-7,,
4931357512,6.83281,2338630917,7745302,2338630913,-4,,
4931608085,7.08338,2338881489,7995875,2338881487,-2,,
4931858221,7.33352,2339131624,8246010,2339131622,-2,,
4932108965,7.58426,2339382367,8496752,2339382365,-2,,
4932359179,7.83448,2339632580,8746966,2339632579,-1,,
4932609987,8.08529,2339883387,8997773,2339883385,-2,,
4932627986,8.10328,2339901385,9015771,2339901383,-2,2339901437,
