Server clock before sync: 39
Synchronizing server_clock...
[1/51] [2/51] [3/51] [4/51] [5/51] [6/51] [7/51] [8/51] [9/51] [10/51] 
[11/51] [12/51] [13/51] [14/51] [15/51] [16/51] [17/51] [18/51] [19/51] [20/51] 
[21/51] [22/51] [23/51] [24/51] [25/51] [26/51] [27/51] [28/51] [29/51] [30/51] 
[31/51] [32/51] [33/51] [34/51] [35/51] [36/51] [37/51] [38/51] [39/51] [40/51] 
[41/51] [42/51] [43/51] [44/51] [45/51] [46/51] [47/51] [48/51] [49/51] [50/51] 
Best Server Sync RTT: 15974, Worst Server Sync RTT: 16512
Average RTT: 16191.900000
Est Server Time: 5019559623, Computed Server Time offset: 5018749610
Server clock after sync: 5019559624

====== SIMULATION METADATA     =====
Server IP: 128.83.139.94, Port: 8000
Server Drift: 0.00 PPM, Client VHC Drift: 0.00 PPM
Relative Drift Weight: -3.50
Local Server Time Error: 7987
Rapport Period: 2000000
Amortization Period: 1000000
Simulation runtime: 1600 seconds
Simulation runtime: 1600000000 usec, 
 Start: 2641894707, End: 4241894707
====== SIMULATION OUTPUT START =====
Current Real Time,Real Time Elapsed (sec),Local Server Time,Hardware Clock Time,Software Clock Time,Error,Remote Est Time,
2641894720,0.00001,5019559637,810027,810028,-5018749609,,
2641911731,0.01702,5019576649,827039,827040,-5018749609,5019576222,
2642161866,0.26716,5019826783,1077173,1256447020,-3763379763,,
2642412189,0.51748,5020077106,1327496,2513005695,-2507071411,,
2642662593,0.76789,5020327508,1577898,3769960930,-1250366578,,
2642912732,1.01802,5020577647,1828038,5020577223,-424,,
2643162898,1.26819,5020827812,2078203,5020827387,-425,,
2643413040,1.51833,5021077953,2328344,5021077528,-425,,
2643663308,1.76860,5021328220,2578611,5021327796,-424,,
2643913452,2.01875,5021578363,2828754,5021577939,-424,,
2643929699,2.03499,5021594620,2845011,5021594195,-425,5021594706,
2644179902,2.28519,5021844812,3095202,5021844517,-295,,
2644430331,2.53562,5022095240,3345631,5022095076,-164,,
2644680479,2.78577,5022345388,3595778,5022345355,-33,,
2644931122,3.03641,5022596030,3846421,5022596130,100,,
2645181257,3.28655,5022846164,4096555,5022846263,99,,
2645432040,3.53733,5023096946,4347337,5023097045,99,,
2645682188,3.78748,5023347094,4597485,5023347193,99,,
2645932328,4.03762,5023597232,4847623,5023597331,99,,
2645948715,4.05401,5023613619,4864009,5023613718,99,5023613794,
2646198864,4.30416,5023863767,5114158,5023863886,119,,
2646449024,4.55432,5024113926,5364317,5024114064,138,,
2646699351,4.80464,5024364253,5614643,5024364411,158,,
2646950341,5.05563,5024615242,5865632,5024615419,177,,
2647200507,5.30580,5024865408,6115798,5024865585,177,,
2647450674,5.55597,5025115574,6365964,5025115751,177,,
2647701195,5.80649,5025366094,6616484,5025366271,177,,
2647951315,6.05661,5025616212,6866603,5025616389,177,,
2647968112,6.07341,5025633008,6883399,5025633185,177,5025632788,
2648218246,6.32354,5025883142,7133533,5025883219,77,,
2648468508,6.57380,5026133403,7383794,5026133381,-22,,
2648718655,6.82395,5026383549,7633940,5026383429,-120,,
2648968814,7.07411,5026633707,7884098,5026633488,-219,,
2649219391,7.32468,5026884285,8134675,5026884066,-219,,
2649469528,7.57482,5027134421,8384811,5027134202,-219,,
2649719679,7.82497,5027384570,8634961,5027384351,-219,,
2649970245,8.07554,5027635145,8885535,5027634925,-220,,
2649986569,8.09186,5027651459,8901849,5027651240,-219,5027651436,
2650237209,8.34250,5027902108,9152499,5027901938,-170,,
2650487358,8.59265,5028152245,9402636,5028152125,-120,,
2650737917,8.84321,5028402804,9653194,5028402734,-70,,
2650988506,9.09380,5028653392,9903782,5028653371,-21,,
2651238710,9.34400,5028903595,10153986,5028903574,-21,,
2651488881,9.59417,5029153776,10404166,5029153755,-21,,
2651739354,9.84465,5029404238,10654629,5029404217,-21,,
2651989506,10.09480,5029654389,10904780,5029654368,-21,,
2652005613,10.11091,5029670496,10920886,5029670474,-22,5029670526,
2652255744,10.36104,5029920626,11171016,5029920617,-9,,
2652506034,10.61133,5030170915,11421306,5030170921,6,,
2652756329,10.86162,5030421209,11671599,5030421226,17,,
2653006518,11.11181,5030671398,11921788,5030671430,32,,
2653257033,11.36233,5030921912,12172303,5030921944,32,,
2653507650,11.61294,5031172528,12422919,5031172560,32,,
2653757810,11.86310,5031422688,12673078,5031422720,32,,
2654008161,12.11345,5031673037,12923428,5031673070,33,,
2654024355,12.12965,5031689230,12939621,5031689262,32,5031689333,
2654275025,12.38032,5031939900,13190291,5031939949,49,,
2654525175,12.63047,5032190049,13440440,5032190116,67,,
2654775482,12.88077,5032440355,13690745,5032440439,84,,
2655025605,13.13090,5032690478,13940868,5032690581,103,,
2655275785,13.38108,5032940657,14191047,5032940760,103,,
2655526342,13.63163,5033191212,14441603,5033191316,104,,
2655776456,13.88175,5033441326,14691717,5033441431,105,,
2656026652,14.13194,5033691521,14941911,5033691625,104,,
2656042847,14.14814,5033707715,14958106,5033707819,104,5033707832,
2656292973,14.39827,5033957841,15208232,5033957949,108,,
2656543144,14.64844,5034208011,15458401,5034208123,112,,
2656793631,14.89892,5034458498,15708888,5034458613,115,,
2657044218,15.14951,5034709083,15959474,5034709203,120,,
2657295282,15.40057,5034960146,16210537,5034960266,120,,
2657545859,15.65115,5035210723,16461114,5035210842,119,,
2657796865,15.90216,5035461728,16712119,5035461847,119,,
2658047538,16.15283,5035712400,16962791,5035712520,120,,
2658064130,16.16942,5035728991,16979381,5035729110,119,5035729264,
2658314278,16.41957,5035979140,17229531,5035979297,157,,
2658564442,16.66973,5036229303,17479693,5036229499,196,,
2658815069,16.92036,5036479929,17730320,5036480164,235,,
2659065215,17.17051,5036730074,17980464,5036730347,273,,
2659315429,17.42072,5036980287,18230677,5036980561,274,,
2659566034,17.67133,5037230890,18481280,5037231164,274,,
2659816183,17.92148,5037481039,18731429,5037481313,274,,
2660066332,18.17162,5037731188,18981579,5037731462,274,,
2660082623,18.18792,5037747478,18997868,5037747751,273,5037747527,
2660333327,18.43862,5037998181,19248571,5037998399,218,,
2660583480,18.68877,5038248333,19498724,5038248495,162,,
2660833606,18.93890,5038498458,19748848,5038498565,107,,
2661084671,19.18996,5038749522,19999913,5038749574,52,,
2661335525,19.44082,5039000376,20250766,5039000427,51,,
2661585669,19.69096,5039250518,20500908,5039250569,51,,
2661835808,19.94110,5039500656,20751047,5039500708,52,,
2662086433,20.19173,5039751280,21001671,5039751332,52,,
2662102799,20.20809,5039767646,21018036,5039767696,50,5039767732,
2662352988,20.45828,5040017836,21268227,5040017895,59,,
2662603409,20.70870,5040268255,21518646,5040268324,69,,
2662853544,20.95884,5040518389,21768780,5040518468,79,,
2663103685,21.20898,5040768529,22018920,5040768618,89,,
2663353885,21.45918,5041018729,22269119,5041018817,88,,
2663604034,21.70933,5041268877,22519268,5041268965,88,,
2663854331,21.95962,5041519172,22769563,5041519260,88,,
2664104467,22.20976,5041769308,23019699,5041769396,88,,
2664120717,22.22601,5041785556,23035947,5041785644,88,5041785731,
2664371189,22.47648,5042036029,23286419,5042036138,109,,
2664621339,22.72663,5042286178,23536569,5042286310,132,,
2664872083,22.97738,5042536921,23787312,5042537076,155,,
2665122678,23.22797,5042787516,24037907,5042787692,176,,
2665372827,23.47812,5043037663,24288054,5043037839,176,,
2665622938,23.72823,5043287773,24538164,5043287949,176,,
2665873102,23.97839,5043537936,24788326,5043538112,176,,
2666123379,24.22867,5043788212,25038602,5043788388,176,,
2666139500,24.24479,5043804332,25054722,5043804508,176,5043804443,
2666389640,24.49493,5044054472,25304862,5044054632,160,,
2666639795,24.74509,5044304628,25555018,5044304772,144,,
2666890364,24.99566,5044555195,25805586,5044555323,128,,
2667140506,25.24580,5044805336,26055727,5044805449,113,,
2667390850,25.49614,5045055680,26306071,5045055793,113,,
2667641272,25.74657,5045306100,26556491,5045306214,114,,
2667891394,25.99669,5045556221,26806611,5045556334,113,,
2668141537,26.24683,5045806364,27056755,5045806477,113,,
2668158073,26.26337,5045822899,27073289,5045823011,112,5045823088,
2668408242,26.51354,5046073068,27323459,5046073200,132,,
2668658385,26.76368,5046323209,27573600,5046323360,151,,
2668908565,27.01386,5046573389,27823779,5046573560,171,,
2669159197,27.26449,5046824020,28074411,5046824212,192,,
2669409736,27.51503,5047074558,28324949,5047074749,191,,
2669659936,27.76523,5047324757,28575148,5047324948,191,,
2669910332,28.01562,5047575152,28825553,5047575353,201,,
2670160475,28.26577,5047825294,29075684,5047825485,191,,
2670197418,28.30271,5047862236,29112627,5047862427,191,5047856109,
2670447544,28.55284,5048112362,29362753,5048110972,-1390,,
2670697674,28.80297,5048362492,29612883,5048359522,-2970,,
2670948147,29.05344,5048612963,29863353,5048608411,-4552,,
2671198391,29.30368,5048863207,30113598,5048857081,-6126,,
2671448539,29.55383,5049113354,30363745,5049107228,-6126,,
2671698688,29.80398,5049363502,30613893,5049357376,-6126,,
2671948811,30.05410,5049613624,30864014,5049607497,-6127,,
2672199357,30.30465,5049864169,31114560,5049858044,-6125,,
2672250561,30.35585,5049915372,31165762,5049909246,-6126,5049903901,
2672500697,30.60599,5050165507,31415898,5050158043,-7464,,
2672750863,30.85616,5050415672,31666063,5050406873,-8799,,
2673001042,31.10634,5050665851,31916242,5050655714,-10137,,
2673251343,31.35664,5050916152,32166542,5050904683,-11469,,
2673501658,31.60695,5051166466,32416856,5051154997,-11469,,
2673751787,31.85708,5051416594,32666985,5051405125,-11469,,
2674002046,32.10734,5051666852,32917243,5051655383,-11469,,
2674252191,32.35748,5051916996,33167387,5051905527,-11469,,
2674268555,32.37385,5051933359,33183750,5051921890,-11469,5051933353,
2674518715,32.62401,5052183520,33433910,5052174919,-8601,,
2674769246,32.87454,5052434050,33684440,5052428320,-5730,,
2675019431,33.12472,5052684234,33934624,5052681373,-2861,,
2675269586,33.37488,5052934387,34184777,5052934383,-4,,
2675519819,33.62511,5053184620,34435010,5053184616,-4,,
2675769980,33.87527,5053434781,34685172,5053434777,-4,,
2676020124,34.12542,5053684923,34935314,5053684920,-3,,
2676270343,34.37564,5053935141,35185532,5053935138,-3,,
2676286644,34.39194,5053951441,35201832,5053951437,-4,5053951446,
2676537167,34.64246,5054201964,35452354,5054201962,-2,,
2676787405,34.89270,5054452201,35702592,5054452203,2,,
2677037533,35.14283,5054702328,35952719,5054702332,4,,
2677287661,35.39295,5054952456,36202856,5054952473,17,,
2677537792,35.64308,5055202595,36452986,5055202602,7,,
2677788109,35.89340,5055452902,36703293,5055452909,7,,
2678038346,36.14364,5055703138,36953529,5055703145,7,,
2678288971,36.39426,5055953763,37204154,5055953770,7,,
2678307033,36.41233,5055971824,37222214,5055971830,6,5055970933,
2678557166,36.66246,5056221956,37472347,5056221738,-218,,
2678807562,36.91286,5056472351,37722742,5056471909,-442,,
2679057715,37.16301,5056722503,37972894,5056721838,-665,,
2679307919,37.41321,5056972706,38223097,5056971818,-888,,
2679558350,37.66364,5057223136,38473527,5057222247,-889,,
2679808904,37.91420,5057473689,38724080,5057472800,-889,,
2680059417,38.16471,5057724202,38974593,5057723313,-889,,
2680310330,38.41562,5057975115,39225506,5057974226,-889,,
2680328291,38.43358,5057993074,39243465,5057992185,-889,5057993905,
2680578755,38.68405,5058243538,39493928,5058243081,-457,,
2680829090,38.93438,5058493873,39744263,5058493847,-26,,
2681079264,39.18456,5058744045,39994436,5058744449,404,,
2681329584,39.43488,5058994365,40244755,5058995198,833,,
2681579959,39.68525,5059244738,40495128,5059245571,833,,
2681830317,39.93561,5059495095,40745485,5059495928,833,,
2682080444,40.18574,5059745232,40995622,5059746065,833,,
2682330689,40.43598,5059995466,41245856,5059996299,833,,
2682346916,40.45221,5060011692,41262083,5060012525,833,5060011651,
2682597080,40.70237,5060261856,41512246,5060262470,614,,
2682847247,40.95254,5060512023,41762413,5060512419,396,,
2683097576,41.20287,5060762351,42012741,5060762528,177,,
2683347733,41.45303,5061012506,42262897,5061012466,-40,,
2683598328,41.70362,5061263100,42513490,5061263060,-40,,
2683848637,41.95393,5061513408,42763799,5061513368,-40,,
2684099567,42.20486,5061764337,43014728,5061764298,-39,,
2684349751,42.45504,5062014522,43264912,5062014481,-41,,
2684365847,42.47114,5062030617,43281007,5062030577,-40,5062030662,
2684616106,42.72140,5062280876,43531266,5062280857,-19,,
2684866651,42.97194,5062531419,43781810,5062531422,3,,
2685116934,43.22223,5062781701,44032091,5062781726,25,,
2685367171,43.47246,5063031938,44282328,5063031984,46,,
2685617264,43.72256,5063282029,44532420,5063282076,47,,
2685867416,43.97271,5063532181,44782571,5063532228,47,,
2686118437,44.22373,5063783200,45033591,5063783247,47,,
2686368685,44.47398,5064033448,45283839,5064033495,47,,
2686384834,44.49013,5064049595,45299986,5064049642,47,5064049712,
2686635397,44.74069,5064300159,45550550,5064300223,64,,
2686885527,44.99082,5064550288,45800678,5064550369,81,,
2687135690,45.24098,5064800449,46050840,5064800560,111,,
2687385843,45.49114,5065050602,46300992,5065050730,128,,
2687636024,45.74132,5065300792,46551183,5065300910,118,,
2687886342,45.99164,5065551100,46801490,5065551218,118,,
2688136467,46.24176,5065801223,47051614,5065801341,118,,
2688386612,46.49191,5066051367,47301758,5066051485,118,,
2688402822,46.50811,5066067577,47317967,5066067695,118,5066067703,
2688652982,46.75827,5066317738,47568128,5066317858,120,,
2688903155,47.00845,5066567909,47818300,5066568032,123,,
2689153323,47.25862,5066818077,48068467,5066818202,125,,
2689403474,47.50877,5067068227,48318617,5067068355,128,,
2689653622,47.75892,5067318374,48568764,5067318502,128,,
2689903766,48.00906,5067568516,48818907,5067568645,129,,
2690154377,48.25967,5067819126,49069517,5067819254,128,,
2690404530,48.50982,5068069279,49319669,5068069407,128,,
2690420980,48.52627,5068085728,49336118,5068085856,128,5068085961,
2690671097,48.77639,5068335844,49586234,5068335998,154,,
2690921277,49.02657,5068586025,49836416,5068586206,181,,
2691171423,49.27672,5068836170,50086560,5068836378,208,,
2691421545,49.52684,5069086290,50336680,5069086525,235,,
2691671688,49.77698,5069336432,50586823,5069336667,235,,
2691922037,50.02733,5069586781,50837171,5069587015,234,,
2692172150,50.27744,5069836893,51087284,5069837128,235,,
2692422315,50.52761,5070087067,51337457,5070087302,235,,
2692438751,50.54404,5070103491,51353882,5070103726,235,5070103479,
2692688907,50.79420,5070353647,51604038,5070353820,173,,
2692939415,51.04471,5070604156,51854547,5070604268,112,,
2693189917,51.29521,5070854657,52105047,5070854707,50,,
2693440457,51.54575,5071105195,52355586,5071105184,-11,,
2693690594,51.79589,5071355332,52605722,5071355320,-12,,
2693940730,52.04602,5071605466,52855856,5071605455,-11,,
2694191304,52.29660,5071856040,53106430,5071856029,-11,,
2694441437,52.54673,5072106171,53356562,5072106160,-11,,
2694457695,52.56299,5072122428,53372818,5072122417,-11,5072122489,
2694707930,52.81322,5072372664,53623055,5072372671,7,,
2694958375,53.06367,5072623107,53873498,5072623133,26,,
2695208476,53.31377,5072873209,54123600,5072873253,44,,
2695458634,53.56393,5073123365,54373756,5073123428,63,,
2695708978,53.81427,5073373709,54624099,5073373772,63,,
2695959530,54.06482,5073624259,54874649,5073624322,63,,
2696209754,54.31505,5073874483,55124873,5073874546,63,,
2696459919,54.56521,5074124647,55375037,5074124709,62,,
2696476194,54.58149,5074140920,55391311,5074140983,63,5074140975,
2696726331,54.83162,5074391058,55641448,5074391119,61,,
2696976491,55.08178,5074641227,55891618,5074641287,60,,
2697227069,55.33236,5074891794,56142184,5074891852,58,,
2697477584,55.58288,5075142308,56392699,5075142365,57,,
