Server clock before sync: 36
Synchronizing server_clock...
[1/51] [2/51] [3/51] [4/51] [5/51] [6/51] [7/51] [8/51] [9/51] [10/51] 
[11/51] [12/51] [13/51] [14/51] [15/51] [16/51] [17/51] [18/51] [19/51] [20/51] 
[21/51] [22/51] [23/51] [24/51] [25/51] [26/51] [27/51] [28/51] [29/51] [30/51] 
[31/51] [32/51] [33/51] [34/51] [35/51] [36/51] [37/51] [38/51] [39/51] [40/51] 
[41/51] [42/51] [43/51] [44/51] [45/51] [46/51] [47/51] [48/51] [49/51] [50/51] 
Best Server Sync RTT: 17749, Worst Server Sync RTT: 18557
Average RTT: 17960.420000
Est Server Time: 2431446342, Computed Server Time offset: 2430547957
Server clock after sync: 2431446343

====== SIMULATION METADATA     =====
Server IP: 128.83.139.94, Port: 8000
Server Drift: 0.00 PPM, Client VHC Drift: 0.00 PPM
Relative Drift Weight: 0.00
Local Server Time Error: 8874
Rapport Period: 2000000
Amortization Period: 1000000
Simulation runtime: 1600 seconds
Simulation runtime: 1600000000 usec, 
 Start: 53772963, End: 1653772963
====== SIMULATION OUTPUT START =====
Current Real Time,Real Time Elapsed (sec),Local Server Time,Hardware Clock Time,Software Clock Time,Error,Remote Est Time,
53773186,0.00022,2431446566,898610,898611,-2430547955,,
53791212,0.01825,2431464593,916637,916637,-2430547956,2431464536,
54041462,0.26850,2431714843,1166888,609416360,-1822298483,,
54291667,0.51870,2431965048,1417092,1217801803,-1214163245,,
54541932,0.76897,2432215313,1667358,1826335570,-605879743,,
54792354,1.01939,2432465736,1917781,2432465681,-55,,
55042665,1.26970,2432716046,2168091,2432715991,-55,,
55293225,1.52026,2432966606,2418651,2432966551,-55,,
55543336,1.77037,2433216717,2668762,2433216663,-54,,
55793508,2.02054,2433466889,2918934,2433466835,-54,,
55811459,2.03850,2433484839,2936883,2433484784,-55,2433484901,
56061549,2.28859,2433734929,3186974,2433734903,-26,,
56312390,2.53943,2433985771,3437816,2433985776,5,,
56562527,2.78956,2434235908,3687953,2434235942,34,,
56812683,3.03972,2434486064,3938109,2434486128,64,,
57062876,3.28991,2434736257,4188301,2434736320,63,,
57313404,3.54044,2434986785,4438830,2434986848,63,,
57563643,3.79068,2435237025,4689069,2435237087,62,,
57813778,4.04082,2435487160,4939204,2435487223,63,,
57831694,4.05873,2435505074,4957118,2435505137,63,2435505091,
58081790,4.30883,2435755180,5207225,2435755232,52,,
