Current Real Time,Local Server Time,Hardware Clock Time,Software Clock Time,Error,Remote Est Time,
7011984744,5932800455,909236,909237,-5931891218,,
7012002877,5932818588,927370,927370,-5931891218,5932818548,
7012253062,5933068775,1177556,1485265546,-4447803229,,
7012503638,5933319350,1428132,2971905687,-2961413663,,
7012754014,5933569726,1678507,4457359249,-1476210477,,
7013004489,5933820201,1928983,5933820163,-38,,
7013254986,5934070698,2179479,5934070660,-38,,
7013505592,5934321304,2430086,5934321266,-38,,
7013755740,5934571453,2680234,5934571415,-38,,
7014005927,5934821639,2930420,5934821601,-38,,
7014024178,5934839890,2948671,5934839851,-39,5934839776,
7014274740,5935090452,3199234,5935090394,-58,,
7014525470,5935341182,3449964,5935341106,-76,,
7014775864,5935591576,3700358,5935591482,-94,,
7015026099,5935841811,3950602,5935841709,-102,,
7015276751,5936092463,4201244,5936092351,-112,,
7015527437,5936343150,4451932,5936343038,-112,,
7015777875,5936593587,4702369,5936593476,-111,,
7016028234,5936843946,4952727,5936843834,-112,,
7016046384,5936862096,4970877,5936861984,-112,5936862038,
7016296871,5937112583,5221365,5937112485,-98,,
7016547588,5937363300,5472082,5937363216,-84,,
7016797773,5937613485,5722267,5937613415,-70,,
7017048077,5937863789,5972571,5937863734,-55,,
7017298320,5938114032,6222814,5938113976,-56,,
7017548941,5938364653,6473435,5938364597,-56,,
7017799225,5938614937,6723718,5938614881,-56,,
7018050133,5938865845,6974627,5938865789,-56,,
7018068305,5938884016,6992797,5938883960,-56,5938884012,
7018318914,5939134626,7243408,5939134582,-44,,
7018569513,5939385225,7494007,5939385195,-30,,
7018819913,5939635625,7744407,5939635608,-17,,
7019070545,5939886257,7995039,5939886254,-3,,
7019320663,5940136375,8245157,5940136383,8,,
7019571124,5940386836,8495618,5940386833,-3,,
7019821500,5940637212,8745994,5940637210,-2,,
7020071804,5940887516,8996298,5940887513,-3,,
7020089953,5940905664,9014445,5940905661,-3,5940905607,
7020340163,5941155875,9264656,5941155859,-16,,
7020590353,5941406065,9514846,5941406035,-30,,
7020840787,5941656499,9765281,5941656458,-41,,
7021091651,5941907363,10016145,5941907308,-55,,
7021341762,5942157473,10266255,5942157418,-55,,
7021592055,5942407767,10516549,5942407712,-55,,
7021842804,5942658517,10767299,5942658462,-55,,
7022093217,5942908929,11017710,5942908874,-55,,
7022111402,5942927113,11035895,5942927058,-55,5942927042,
7022362106,5943177828,11286610,5943177769,-59,,
7022612574,5943428286,11537068,5943428223,-63,,
7022862732,5943678444,11787226,5943678379,-65,,
7023113612,5943929324,12038105,5943929254,-70,,
7023364278,5944179991,12288772,5944179921,-70,,
7023614665,5944430378,12539159,5944430308,-70,,
7023865123,5944680835,12789617,5944680766,-69,,
7024115290,5944931013,13039794,5944930943,-70,,
7024133528,5944949239,13058020,5944949169,-70,5944949153,
7024383889,5945199601,13308383,5945199529,-72,,
7024634223,5945449935,13558716,5945449858,-77,,
7024884789,5945700501,13809283,5945700421,-80,,
7025135380,5945951092,14059873,5945951008,-84,,
7025385549,5946201261,14310042,5946201177,-84,,
7025635748,5946451459,14560251,5946451385,-74,,
7025885903,5946701616,14810398,5946701532,-84,,
7026136825,5946952536,15061318,5946952462,-74,,
7026155208,5946970920,15079701,5946970835,-85,5946970814,
7026406114,5947221826,15330607,5947221737,-89,,
7026656855,5947472568,15581349,5947472474,-94,,
7026907466,5947723178,15831960,5947723079,-99,,
7027157639,5947973351,16082132,5947973247,-104,,
7027408354,5948224066,16332847,5948223961,-105,,
7027659168,5948474880,16583662,5948474776,-104,,
7027909708,5948725420,16834202,5948725316,-104,,
7028160681,5948976393,17085174,5948976289,-104,,
7028178955,5948994667,17103448,5948994562,-105,5948994597,
7028429296,5949245008,17353789,5949244912,-96,,
7028679776,5949495488,17604269,5949495400,-88,,
7028930018,5949745730,17854511,5949745653,-77,,
7029180223,5949995935,18104716,5949995867,-68,,
7029430656,5950246368,18355150,5950246300,-68,,
7029681168,5950496881,18605662,5950496812,-69,,
7029931521,5950747233,18856015,5950747165,-68,,
7030181710,5950997422,19106204,5950997354,-68,,
7030199999,5951015711,19124492,5951015643,-68,5951015632,
7030450689,5951266400,19375182,5951266329,-71,,
7030701310,5951517022,19625803,5951516949,-73,,
7030951925,5951767637,19876419,5951767562,-75,,
7031202349,5952018061,20126842,5952017994,-67,,
7031452591,5952268303,20377084,5952268236,-67,,
7031702773,5952518485,20627267,5952518408,-77,,
7031952958,5952768670,20877452,5952768593,-77,,
7032203425,5953019137,21127918,5953019060,-77,,
7032221732,5953037443,21146224,5953037366,-77,5953037410,
7032471869,5953287581,21396362,5953287515,-66,,
7032722724,5953538436,21647218,5953538382,-54,,
7032973446,5953789158,21897940,5953789115,-43,,
7033223590,5954039302,22148084,5954039271,-31,,
7033473813,5954289525,22398307,5954289494,-31,,
7033724077,5954539799,22648580,5954539768,-31,,
7033974953,5954790665,22899447,5954790635,-30,,
7034225090,5955040803,23149584,5955040772,-31,,
7034243286,5955058998,23167779,5955058967,-31,5955058932,
7034493428,5955309140,23417921,5955309101,-39,,
