Server clock before sync: 35
Synchronizing server_clock...
[1/51] [2/51] [3/51] [4/51] [5/51] [6/51] [7/51] [8/51] [9/51] [10/51] 
[11/51] [12/51] [13/51] [14/51] [15/51] [16/51] [17/51] [18/51] [19/51] [20/51] 
[21/51] [22/51] [23/51] [24/51] [25/51] [26/51] [27/51] [28/51] [29/51] [30/51] 
[31/51] [32/51] [33/51] [34/51] [35/51] [36/51] [37/51] [38/51] [39/51] [40/51] 
[41/51] [42/51] [43/51] [44/51] [45/51] [46/51] [47/51] [48/51] [49/51] [50/51] 
Best Server Sync RTT: 234745, Worst Server Sync RTT: 256304
Average RTT: 235463.720000
Est Server Time: 15956256788, Computed Server Time offset: 15944483170
Server clock after sync: 15956256789

====== SIMULATION METADATA     =====
Server IP: 128.83.139.94, Port: 8010
Server Drift: 10.00 PPM, Client VHC Drift: -10.00 PPM
Relative Drift Weight: -3.50
Local Server Time Error: 117372
Rapport Period: 20000000
Amortization Period: 5000000
Simulation runtime: 1800 seconds
Simulation runtime: 1800000000 usec, 
 Start: 14525212165, End: 16325212165
====== SIMULATION OUTPUT START =====
Current Real Time,Real Time Elapsed (sec),Local Server Time,Hardware Clock Time,Software Clock Time,Error,Remote Est Time,
14525212278,0.00011,15956256903,11773497,11773498,-15944483405,,
14525447255,0.23509,15956491881,12008471,12008472,-15944483409,15956491759,
14525472700,0.26054,15956517325,12033916,93178579,-15863338746,,
14525523212,0.31105,15956567839,12084427,254306639,-15702261200,,
14525573673,0.36151,15956618300,12134888,415268824,-15541349476,,
14525624274,0.41211,15956668901,12185487,576677595,-15379991306,,
14525675329,0.46316,15956719957,12236542,739537769,-15217182188,,
14525725475,0.51331,15956770115,12286699,899533416,-15057236699,,
14525776045,0.56388,15956820673,12337256,1060805021,-14896015652,,
14525826630,0.61447,15956871259,12387841,1222165944,-14734705315,,
14525877254,0.66509,15956921883,12438464,1383648082,-14573273801,,
14525930050,0.71788,15956974679,12491260,1552058676,-14404916003,,
14525980833,0.76867,15957025462,12542042,1714051198,-14242974264,,
14526030914,0.81875,15957075544,12592122,1873801223,-14083274321,,
14526081030,0.86886,15957125660,12642237,2033662894,-13923462766,,
14526131671,0.91951,15957176302,12692878,2195202450,-13761973852,,
14526182773,0.97061,15957227403,12743978,2358206170,-13599021233,,
14526233801,1.02164,15957278431,12795006,2520980216,-13436298215,,
14526284849,1.07268,15957329480,12846054,2683814871,-13273514609,,
14526335918,1.12375,15957380550,12897122,2846716514,-13110664036,,
14526386447,1.17428,15957431078,12947650,3007898802,-12949532276,,
14526436983,1.22482,15957481615,12998187,3169103419,-12788378196,,
14526488028,1.27586,15957532660,13049230,3331925314,-12625607346,,
14526539065,1.32690,15957583698,13100266,3494728070,-12462855628,,
14526590121,1.37796,15957634753,13151320,3657585054,-12300049699,,
14526641165,1.42900,15957685799,13202365,3820413329,-12137272470,,
14526692230,1.48006,15957736864,13253429,3983302212,-11974434652,,
14526743286,1.53112,15957787919,13304484,4146162386,-11811625533,,
14526793828,1.58166,15957838463,13355026,4307386143,-11650452320,,
14526844060,1.63190,15957888695,13405258,4467621032,-11490267663,,
14526894138,1.68197,15957938773,13455334,4627358297,-11330580476,,
14526944499,1.73233,15957989135,13505696,4788004682,-11169984453,,
14526995289,1.78312,15958039925,13556485,4950016344,-11008023581,,
14527045820,1.83366,15958090456,13607018,5111214581,-10846875875,,
14527096065,1.88390,15958140702,13657259,5271478179,-10686662523,,
14527146479,1.93431,15958191116,13707672,5432290440,-10525900676,,
14527196555,1.98439,15958241192,13757747,5592024515,-10366216677,,
14527246933,2.03477,15958291571,13808125,5752725129,-10205566442,,
14527297545,2.08538,15958342182,13858736,5914168988,-10044173194,,
14527348094,2.13593,15958392732,13909284,6075411885,-9882980847,,
14527398688,2.18652,15958443327,13959878,6236801516,-9721641811,,
14527449270,2.23711,15958493909,14010460,6398149679,-9560344230,,
14527500323,2.28816,15958544961,14061511,6561000283,-9397544678,,
14527551372,2.33921,15958596012,14112559,6723838128,-9234757884,,
14527602397,2.39023,15958647049,14163597,6886644073,-9072002976,,
14527653457,2.44129,15958698098,14214645,7049481918,-8909216180,,
14527704495,2.49233,15958749148,14265693,7212319763,-8746429385,,
14527755554,2.54339,15958800195,14316740,7375154417,-8583645778,,
14527806568,2.59440,15958851209,14367752,7537877426,-8420973783,,
14527857142,2.64498,15958901784,14418325,7699200069,-8259701715,,
14527908179,2.69601,15958952821,14469362,7862002825,-8096949996,,
14527958794,2.74663,15959003436,14519976,8023453065,-7935550371,,
14528009868,2.79770,15959054510,14571049,8186370657,-7772683853,,
14528060438,2.84827,15959105091,14621629,8347718820,-7611386271,,
14528111073,2.89891,15959155715,14672253,8509200958,-7449954757,,
14528161719,2.94955,15959206362,14722898,8670753274,-7288453088,,
14528212618,3.00045,15959257261,14773797,8833115824,-7126141437,,
14528263691,3.05153,15959308334,14824869,8996030226,-6963278108,,
14528314631,3.10247,15959359276,14875808,9158523562,-6800835714,,
14528365074,3.15291,15959409719,14926251,9319428329,-6639981390,,
14528415687,3.20352,15959460331,14976863,9480878569,-6478581762,,
14528466364,3.25420,15959511009,15027539,9642526582,-6316984427,,
14528516987,3.30482,15959561633,15078161,9804008721,-6155552912,,
14528568000,3.35583,15959612646,15129174,9966734919,-5992877727,,
14528618620,3.40645,15959663267,15179793,10128204298,-5831458969,,
14528669213,3.45705,15959713859,15230385,10289587549,-5670126310,,
14528719322,3.50716,15959763969,15280494,10449430081,-5510333888,,
14528770024,3.55786,15959814672,15331195,10611161032,-5348653640,,
14528820916,3.60875,15959865564,15382087,10773498062,-5186367502,,
14528871821,3.65966,15959916469,15432991,10935876562,-5024039907,,
14528922868,3.71070,15959967517,15484037,11098711217,-4861256300,,
