Max Drift,Rapport Period,Amortization Period,Avg. Error,Median Error,Max Absolute Error,Error Standard Deviation
10,10000000,5000000,-1441.267008,-1411,11202,1035.723544
10,20000000,5000000,-1733.18342,-1666,5629,926.2818078
10,30000000,5000000,-1597.607881,-1583,3072,722.310189
10,40000000,5000000,-1898.053143,-1775,8706,1105.40571
10,50000000,5000000,-1856.740169,-1771,4115,888.9982815
10,60000000,5000000,-1893.923428,-1898,3927,815.6765433
20,10000000,5000000,-1652.732921,-1575.5,6080,804.3950675
20,20000000,5000000,-1829.877472,-1858,3694,750.304917
20,30000000,5000000,-2054.063525,-2081,3912,755.0598192
20,40000000,5000000,-2262.7812,-2230,5961,915.0726127
20,50000000,5000000,-2501.259686,-2485,5097,965.4152206
20,60000000,5000000,-2501.190369,-2508,4654,928.8225114
30,10000000,5000000,-1688.357377,-1669,4158,731.922931
30,20000000,5000000,-2060.488116,-1982,8842,1045.219277
30,30000000,5000000,-2225.204491,-2215,4194,805.0532282
30,40000000,5000000,-2566.203392,-2574,4730,932.9193947
30,50000000,5000000,-2877.060757,-2878,5751,1062.767186
30,60000000,5000000,-3169.624291,-3174,5955,1165.767884
40,10000000,5000000,-1958.052618,-2005,7829,855.5501051
40,20000000,5000000,-2330.397178,-2272,7091,926.7081605
40,30000000,5000000,-2623.675121,-2609,5527,961.0084889
40,40000000,5000000,-3013.025648,-3019,5449,1066.728762
40,50000000,5000000,-3885.400588,-3585,13733,2097.530999
40,60000000,5000000,-3922.741089,-3863,10126,1632.304637
50,10000000,5000000,-2147.943748,-2103,6847,883.5227803
50,20000000,5000000,-2627.584727,-2583,7763,982.2453065
50,30000000,5000000,-3145.61081,-3148,5713,1021.459703
50,40000000,5000000,-3509.528542,-3515,6559,1244.70165
50,50000000,5000000,-4212.601216,-4035,14947,2047.643866
50,60000000,5000000,-4644.437438,-4598.5,11589,1907.074944
