Current Real Time,Real Time Elapsed (sec),Local Server Time,Hardware Clock Time,Software Clock Time,Error,Remote Est Time,
14525365505,0.00015,15929971160,11766058,11766058,-15918205102,,
14525600289,0.23494,15930205955,12000830,12000830,-15918205125,15930205851,
14525625782,0.26043,15930231449,12026322,93186881,-15837044568,,
14525676829,0.31148,15930282500,12077366,255746881,-15674535619,,
14525726974,0.36162,15930332658,12127520,415466181,-15514866477,,
14525777541,0.41219,15930383216,12178072,576459338,-15353923878,,
14525828111,0.46276,15930433788,12228640,737497079,-15192936709,,
14525878243,0.51289,15930483922,12278769,897139948,-15033343974,,
14525930110,0.56476,15930535791,12330633,1062308169,-14868227622,,
14525980845,0.61549,15930586529,12381366,1223874562,-14706711967,,
14526031421,0.66607,15930637108,12431939,1384934596,-14545702512,,
14526081532,0.71618,15930687220,12482047,1544507403,-14386179817,,
14526131671,0.76632,15930737363,12532183,1704175749,-14226561614,,
14526182767,0.81742,15930788460,12583277,1866888611,-14063899849,,
14526233798,0.86845,15930839494,12634305,2029397657,-13901441837,,
14526284833,0.91948,15930890531,12685336,2191913072,-13738977459,,
14526335869,0.97052,15930941574,12736376,2354453965,-13576487609,,
14526386931,1.02158,15930992635,12787431,2517045811,-13413946824,,
14526437476,1.07212,15931043182,12837973,2678003937,-13253039245,,
14526488513,1.12316,15931094220,12889006,2840525721,-13090568499,,
14526539080,1.17373,15931144790,12939571,3001557094,-12929587696,,
14526590128,1.22478,15931195840,12990616,3164117094,-12767078746,,
14526641175,1.27582,15931246889,13041660,3326673909,-12604572980,,
14526692237,1.32689,15931297954,13092719,3489281679,-12442016275,,
14526743290,1.37794,15931349009,13143770,3651857602,-12279491407,,
14526793827,1.42847,15931399550,13194305,3812793435,-12118606115,,
14526844060,1.47871,15931449785,13244535,3972761138,-11958688647,,
14526894632,1.52928,15931500359,13295105,4133805248,-11797695111,,
14526944990,1.57964,15931550732,13345471,4294206062,-11637344670,,
14526995299,1.62995,15931601030,13395765,4454374397,-11477226633,,
14527045812,1.68046,15931651545,13446276,4615230614,-11316420931,,
14527096048,1.73070,15931701785,13496509,4775207870,-11156493915,,
14527146460,1.78111,15931752199,13546919,4935742438,-10996009761,,
14527196542,1.83119,15931802283,13596998,5095229260,-10836573023,,
14527246913,1.88156,15931852657,13647366,5255633258,-10676219399,,
14527297545,1.93219,15931903290,13697995,5416868447,-10515034843,,
14527348592,1.98324,15931954340,13749040,5579425263,-10352529077,,
14527399226,2.03387,15932004977,13799671,5740670006,-10191334971,,
14527450275,2.08492,15932056028,13850717,5903233191,-10028822837,,
14527501323,2.13597,15932107078,13901762,6065793191,-9866313887,,
14527552372,2.18702,15932158130,13952808,6228356376,-9703801754,,
14527603422,2.23807,15932209182,14003856,6390925930,-9541283252,,
14527654471,2.28912,15932260234,14054902,6553489114,-9378771120,,
14527705519,2.34017,15932311284,14105948,6716049115,-9216262169,,
14527756068,2.39072,15932361834,14156494,6877023163,-9055338671,,
14527807075,2.44172,15932412845,14207499,7039455778,-8892957067,,
14527857666,2.49231,15932463438,14258087,7200557212,-8731906226,,
14527908686,2.54333,15932514460,14309104,7363028042,-8569486418,,
14527959296,2.59394,15932565073,14359711,7524196354,-8408368719,,
14528010404,2.64505,15932616183,14410816,7686947433,-8245668750,,
14528060962,2.69561,15932666743,14461372,7847946959,-8084719784,,
14528111585,2.74623,15932717369,14511993,8009156671,-7923560698,,
14528162214,2.79686,15932768012,14562630,8170420522,-7762347490,,
14528213119,2.84777,15932818907,14613520,8332483719,-7600335188,,
14528263689,2.89834,15932869480,14664087,8493524645,-7439344835,,
14528314631,2.94928,15932920424,14715028,8655750258,-7277170166,,
14528365074,2.99972,15932970870,14765467,8816383550,-7116587320,,
14528415686,3.05033,15933021483,14816076,8977555047,-6955466436,,
14528465860,3.10051,15933071660,14866248,9137334855,-6795736805,,
14528516483,3.15113,15933122286,14916868,9298541383,-6634580903,,
14528567484,3.20213,15933173288,14967866,9460948520,-6472224768,,
14528618158,3.25281,15933223965,15018538,9622320649,-6310903316,,
14528668712,3.30336,15933274521,15069089,9783307436,-6149967085,,
14528718776,3.35342,15933324587,15119160,9942765596,-5990558991,,
14528769518,3.40417,15933375332,15169889,10104319250,-5829056082,,
