1800, 1800000000
Server clock before sync: 51
Synchronizing server_clock...
[1/51] [2/51] [3/51] [4/51] [5/51] [6/51] [7/51] [8/51] [9/51] [10/51] 
[11/51] [12/51] [13/51] [14/51] [15/51] [16/51] [17/51] [18/51] [19/51] [20/51] 
[21/51] [22/51] [23/51] [24/51] [25/51] [26/51] [27/51] [28/51] [29/51] [30/51] 
[31/51] [32/51] [33/51] [34/51] [35/51] [36/51] [37/51] [38/51] [39/51] [40/51] 
[41/51] [42/51] [43/51] [44/51] [45/51] [46/51] [47/51] [48/51] [49/51] [50/51] 
Best Server Sync RTT: 19146, Worst Server Sync RTT: 46784
Average RTT: 22294.180000
Est Server Time: 8883477, Computed Server Time offset: 7768309
Server clock after sync: 8883478

====== SIMULATION METADATA     =====
Server IP: 128.83.139.94, Port: 8080
Server Drift: 20 PPM, Client VHC Drift: -20 PPM
Relative Drift Weight: -16
Local Server Time Error: 9573
Simulation runtime: 1800 seconds
====== SIMULATION OUTPUT START =====
Current Real Time,Local Server Time,Hardware Clock Time,Software Clock Time,Error,Remote Est Time,
149756156842,8883484,1115134,1115135,-7768349,,
149756177274,8903918,1135565,1135566,-7768352,8904554,
149756406843,9133486,1365126,1721822,-7411664,,
149756656845,9383489,1615119,2360254,-7023235,,
149756906847,9633492,1865112,2998683,-6634809,,
149757156848,9883495,2115104,3637115,-6246380,,
149757406850,10133498,2365098,4275546,-5857952,,
149757656851,10383500,2615089,4913976,-5469524,,
149757908099,10634749,2866329,5555589,-5079160,,
149758158100,10884750,3116320,6194019,-4690731,,
149758408101,11134752,3366312,6832445,-4302307,,
149758658103,11384755,3616305,7470879,-3913876,,
149758908105,11634759,3866298,8109311,-3525448,,
149759158106,11884761,4116291,8747740,-3137021,,
149759408107,12134763,4366282,9386170,-2748593,,
149759658108,12384764,4616274,10024599,-2360165,,
149759908110,12634767,4866267,10663030,-1971737,,
149760158111,12884770,5116260,11301460,-1583310,,
149760408112,13134772,5366252,11939891,-1194881,,
149760658115,13384776,5616246,12578323,-806453,,
149760908117,13634778,5866238,13216755,-418023,,
149761158118,13884780,6116229,13855181,-29599,,
149761408119,14134782,6366221,14135213,431,,
149761658122,14384787,6616217,14385208,421,,
149761908124,14634790,6866209,14635201,411,,
149762158125,14884791,7116201,14885193,402,,
149762408126,15134794,7366194,15135185,391,,
149762658128,15384797,7616187,15385178,381,,
149762908129,15634799,7866179,15635171,372,,
149763158130,15884800,8116170,15885162,362,,
149763408131,16134803,8366162,16135154,351,,
149763658132,16384804,8616154,16385146,342,,
149763908135,16634809,8866148,16635140,331,,
149764158137,16884812,9116141,16885133,321,,
149764408139,17134814,9366134,17135125,311,,
149764658140,17384816,9616126,17385117,301,,
149764908141,17634819,9866119,17635110,291,,
149765158143,17884821,10116111,17885102,281,,
149765408146,18134825,10366105,18135097,272,,
149765658147,18384827,10616097,18385089,262,,
149765908149,18634830,10866090,18635082,252,,
149766158150,18884832,11116082,18885074,242,,
149766408153,19134836,11366075,19135067,231,,
149766658156,19384840,11616071,19385062,222,,
149766908158,19634844,11866063,19635055,211,,
149767158160,19884846,12116056,19885048,202,,
149767408162,20134850,12366049,20135041,191,,
149767658164,20384853,12616043,20385035,182,,
149767908167,20634857,12866037,20635029,172,,
149768158169,20884859,13116029,20885021,162,,
149768408171,21134863,13366023,21135014,151,,
149768658172,21384864,13616014,21385006,142,,
149768908175,21634868,13866008,21635000,132,,
149769158177,21884872,14116001,21884993,121,,
149769408178,22134874,14365994,22134985,111,,
149769658179,22384876,14615985,22384977,101,,
149769908180,22634878,14865978,22634969,91,,
149770158182,22884881,15115970,22884962,81,,
149770408183,23134883,15365962,23134954,71,,
149770658186,23384886,15615956,23384948,62,,
149770908189,23634890,15865950,23634941,51,,
149771158190,23884893,16115942,23884934,41,,
149771408193,24134896,16365936,24134927,31,,
149771658194,24384899,16615928,24384919,20,,
149771908196,24634901,16865921,24634913,12,,
149772158197,24884904,17115913,24884905,1,,
149772408199,25134907,17365906,25134898,-9,,
149772658201,25384910,17615899,25384891,-19,,
149772908265,25634975,17865968,25634959,-16,,
149773158267,25884977,18115947,25884939,-38,,
149773408270,26134982,18365942,26134934,-48,,
149773658273,26384985,18615935,26384927,-58,,
149773908275,26634989,18865928,26634920,-69,,
149774158277,26884992,19115921,26884913,-79,,
149774408279,27134995,19365915,27134906,-89,,
149774658282,27384998,19615908,27384900,-98,,
149774908285,27635003,19865903,27634894,-109,,
149775158288,27885007,20115897,27884888,-119,,
149775408289,28135009,20365889,28134880,-129,,
149775658290,28385010,20615880,28384871,-139,,
149775908292,28635014,20865874,28634865,-149,,
